review;sentiment_classification;Topico_Dominante;Porcentaje_Similitud
all over good but will be better if have option to download songs and can't listen offline;positive;1;44.40999984741211%
this app is nice but not plays music in queue;positive;3;52.5%
Most precious songs are there.. Best vibes on spotify.. 😉;positive;1;36.630001068115234%
just perfect!;positive;1;58.279998779296875%
it's okay;positive;4;58.33000183105469%
many ads;positive;4;72.22000122070312%
The app is quite amazing yet I'm concerned that I was overcharged and got no refund until today. Plus I got an offer to experience the app for 3 months for free but I was still charged after adhering to the offer.;positive;2;57.029998779296875%
best;positive;0;58.33000183105469%
great app, love premium features and that I can have an account for each member of my family, even the kids. Don't like that podcasts do not play in the order I have sorted them in. if I sort reverse chronological then I want them to play in that order. I constantly need to stop then manually scroll to change to next podcast according to how I have sorted them as it always starts playing the previous episode I have already heard. Especially when I am in the car...;positive;2;41.90999984741211%
great;positive;2;58.29999923706055%
GOOD APP FOR SONGS PLAYING;positive;2;54.279998779296875%
After this last update it closes eveytime you play a track and see the info of it.;positive;1;88.06999969482422%
I love everything about Spotify except the way it plays audiobooks. It would keep skipping chapters.;positive;1;80.33999633789062%
I've been trying to renew my subscription but for some days now it's not been working.;positive;1;83.29000091552734%
good but need data( network);positive;4;79.08999633789062%
overall it is a good music app. if you can add caller tunes on the app then it becomes super;positive;5;36.130001068115234%
The amount of adds are unbearable if you don't get premium, however the podcasts redeem this as ypu don't need premium and there are often an exclusive video element on spotify.;positive;1;72.33999633789062%
I use Spotify every day, and now, the song will just pause on its own every few songs or so. This is really getting on my nerves, and it's only gotten worse in the last few months. PLEASE FIX THIS.;positive;1;51.43000030517578%
excellent features. great music library. top quality sound as well. AI DJ is a vibe. Premium access for me is a little expensive but it could be worth it...;positive;1;33.18000030517578%
love this app but one thing can be added which will make the app so better u can add like friend system in which when u add someone in ur friendlist then you can see what other person is hearing or u guys can listen at same time while sitting away from each other I would love this feature;positive;1;35.41999816894531%
this is the best song app I love it;positive;0;61.029998779296875%
nice makkala;positive;3;58.33000183105469%
6 skips as a limit is not fair hope you fix it;positive;1;47.5099983215332%
👍🥇;positive;0;16.670000076293945%
before I have it a 3 because i hated the switch to premium. every single thing was premium. but i realised you can't switch to another music app. Spotify is just better at everything. so I was using cracked for a while then I just thought I'd get the student plan which is 60 per month and i think that's fair and reasonable. now am giving this a 4 star cause it's got some bugs and lags i hope they fix it soon. keep it on Spotify;positive;1;56.25%
I like this app;positive;1;38.90999984741211%
it used to be good, until it becomes greedy.. 😟 but still good of you have premium, which I don't have.;positive;1;43.869998931884766%
Spotify is the best app for listening music ,but it's bores me with advertisement;positive;0;72.6500015258789%
sen ne guzel uygulamasin sensiz bir saniyem gecmez sensiz yasayamam. sadece telefonlarda birden fazla sarkiyi ayni anda secip liste degistirebilsem seninle evlenirim canim spotify'im;positive;2;39.099998474121094%
simply the best app for streaming music;positive;0;86.08999633789062%
Only thing is I can't stand these not skippable adds and VERY limited skips.;positive;5;47.099998474121094%
easy to listen to music and it's world wide;positive;5;45.72999954223633%
Blank/loading on the library & sudden offline after this recent update.;positive;1;36.130001068115234%
it plays music smoothly and I can get access to all different genres;positive;2;40.939998626708984%
Spotify has always been known for how good it is and how it is the best music player ever, but the app appearance is a little outdated, so it would be a hundred times better if you would make a change to the appearance that would look satisfying. and appreciate it if you read my rating.;positive;1;41.95000076293945%
very good mostly;positive;4;72.22000122070312%
the only thing holding this app from getting 5 stars is their algorithm;positive;1;52.25%
wonderful;positive;1;58.33000183105469%
I think it's really good I just find the ads a bit annoying sometimes but I understand why there is ads;positive;4;61.47999954223633%
I absolutely LOVE Spotify, there's no limit to what you can watch and you get so many things even without Premium. The only thing I'd change is the amount of ads. I'm not sure about anyone else but I get a ridiculous amount of ads (three or four) every two songs. And you know those 'Ad free listening for 30 minutes'? Less than 7 minutes later I get an add. Please fix this Spotify :);positive;2;54.34000015258789%
1) Fix the queue menu. Can't remove songs at all anymore, even with premium, and you can't see additional info on the song or artist without actually playing the song. Including adding music to playlists. It's pointless. 2) Fix editing on the app. It doesn't work hardly at all. If I move more than 2 songs at once it doesn't save. I've spent like 40 minutes trying to move 6 songs because it won't save it. Even tried closing the app. Nothing. 3) App crashes a lot more lately. It's infuriating;positive;2;77.93000030517578%
ok but ads are too much it's best 😊😊;positive;0;43.310001373291016%
play everything I like listening to.;positive;2;58.11000061035156%
recommendations could be better;positive;5;54.04999923706055%
Brand new phone with nothing installed or anything casuin things to slow down and this app takes like 10 min to start up. Still a good app it just has its moments to fix itself and take time to function before starting the first song;positive;2;50.18000030517578%
after every song too many ads are played please fix this and listening experience is excellent;positive;2;52.20000076293945%
just started so fat so good;positive;4;72.12999725341797%
good 👍;positive;4;58.33000183105469%
takes way to much space in my phone;positive;2;86.06999969482422%
"I love this app, but i have a problem with it too. I currently live in New Zealand, but when I went overseas to Australia and used the 2 week period to use Spotify as usual. But when i returned back, it said that i needed to ""update my location"" but as i did, it said i still had to do so. I've done this process a lot, but nothing changes, its a massive issue for myself, all i ask is for it to be fixed. Thank you 🙏";positive;1;53.02000045776367%
I really like this app, the only thing keeping me away from giving it from giving it a 5/5 is that sometimes when I try opening the app, it just stays on a black screen so I uave to delete it and reinstall it all over again.;positive;2;68.25%
it's a great app and I'm enjoying using it;positive;3;36.439998626708984%
premium is worth before they used to show ad in premium now they don't 100percent worth the premium;positive;1;68.02999877929688%
fantastic 😍 man..;positive;5;72.22000122070312%
please add HiRes plan;positive;1;78.72000122070312%
10/10 experience with Spotify premium,the ai DJ and recommended playlist the free experience is not too bad;positive;1;46.130001068115234%
just started using good till now.;positive;4;65.69999694824219%
I like it;positive;1;58.16999816894531%
thanks and i am from India;positive;5;38.869998931884766%
The AI dj pulls songs from the same group of songs over and over again.;positive;2;56.95000076293945%
I love Spotify, it is a great app of use for daily music, and it gives you monthly reviews of what you've listed to. The only thing I find annoying about Spotify is when you get the same ads over and over again. Other than that it's an amazing app.;positive;0;27.399999618530273%
the best;positive;0;58.33000183105469%
it hase all of musics i want, but after a few months if you are a free user of the app it will be unavailable.;positive;1;45.439998626708984%
fantastic 😍;positive;5;58.33000183105469%
the app is really great for finding new music of a simillartype to the ones you already like. you can discover new artists in a simillar fashion...;positive;2;50.0%
Good selection;positive;4;38.88999938964844%
Very bad and glitchy app;positive;4;41.65999984741211%
I wish I had more access to things if I had premium. But besides that, I love listening to the music.;positive;5;36.970001220703125%
best app but some time later suggest buy premium;positive;1;63.68000030517578%
premium doesn't have many perks except no ads it's cool tho;positive;1;38.27000045776367%
so far is okay;positive;4;72.0999984741211%
keep up with the standards;positive;5;72.20999908447266%
playback is not cool though;positive;0;29.170000076293945%
ads r pissin me off;positive;1;38.97999954223633%
it's fine if u pay for premium and I love how whenever I tell them about a bug it's usually fixed with the week I do appreciate that;positive;1;38.16999816894531%
good 👍;positive;4;58.33000183105469%
This is a very good appp🎧🎧🎧🎧🎵🎵;positive;4;38.90999984741211%
it's good but after the update it's crashing whenever i click on a song :/;positive;2;44.2400016784668%
"Everything is fine but I can't play ""Pure Souls"" by Kanye West and be in the app.When I do that the app closes immediately.";positive;2;53.86000061035156%
please let us enjoy music not so much recharge conditions.;positive;1;52.540000915527344%
great 👍😃;positive;2;58.29999923706055%
the premium version is great but without it the app sucks;positive;1;38.93000030517578%
excellent;positive;3;58.33000183105469%
it's all good but ads are not good and ads disturbs our music feel;positive;4;59.52000045776367%
does just enough on every front to barely be the best. tidal/ytm has better recs, literally every service has higher quality audio, but they don't perform/have as much support as Spotify.;positive;0;22.239999771118164%
wow;positive;4;58.33000183105469%
it's very useless without premium but once you buy premium it's best app there for music;positive;1;45.279998779296875%
a very good app with sufficient features and no competition but Spotify and Youtube are asking for premium to download songs which is a pain;positive;1;61.439998626708984%
some regional songs don't have lyrics;positive;2;72.20999908447266%
great but has to many ADS;positive;4;53.790000915527344%
Brilliant 👏;positive;3;58.33000183105469%
don't ask for primium;positive;1;72.22000122070312%
music is peace of mental;positive;4;38.869998931884766%
nice app;positive;3;72.0999984741211%
"It'll play music just fine, but if I try to fully open the song that's playing to look at the lyrics or something, it just closes. I've restarted my phone and un/re-installed the app. Spotify locks up and says, ""This app has stopped working.""";positive;2;49.880001068115234%
good;positive;4;58.33000183105469%
best app for music only if you don't have Spotify premium ads are annoying;positive;0;45.22999954223633%
Very good;positive;4;58.33000183105469%
great app;positive;2;72.0199966430664%
you should let us transfer for our music and likes of music from our old listening app onto this app and then it would be five stars;positive;1;52.619998931884766%
very good for music lovers like me;positive;3;43.2599983215332%
I would give spotify 5 stars, its definitely a great music app and im very happy with it only problem I have with it is on a tablet, at the moment its sort of broken the player isnt the best and there is no lyrics or insights only in portrait mode. Hopefully they fix this in an update and make it more optimised for android tablets, then I'll be able to give 5 stars 😊;positive;1;35.56999969482422%
how do I change my email without losing the music I downloaded;positive;1;52.95000076293945%
good for listening music, with some irritation ads;positive;4;48.31999969482422%
Omg I love it so much but it never loaddddddds so every time I want to use it I have to delete and readd the app it is sooooooooo annoying it never did this before but I still do it because It is such an amazing app;positive;1;55.7599983215332%
superrr service;positive;4;58.279998779296875%
I like to listen to songs with Spotify;positive;2;50.349998474121094%
very nice 👍;positive;3;58.33000183105469%
too many adds. otherwise best music app.;positive;4;50.09000015258789%
l love Spotify except sometimes there are too many commercials, ads, especially in a different language, but other then that I love it;positive;1;33.16999816894531%
It's really good, but the downfall is that after I skipped about 6-7 songs there was a ad.;positive;4;83.27999877929688%
Good 👍;positive;4;58.33000183105469%
Good App. & Ready Playlists. Updated 16052025.;positive;1;43.43000030517578%
it'll show like 4 different versions of a song but the words don't scroll left to right, so you can read which version you're downloading when searching a song.;positive;4;45.939998626708984%
There is a problem with the lyrics in this, the lyrics are not coming, can you fix it, that means play any song but the lyrics don't come in it, if I can get the lyrics then please do it quickly solve this problem 🙏🏻;positive;2;65.9000015258789%
some ads were rly annoying and kept coming back :(;positive;4;46.290000915527344%
It a wonderful 😊 app .....;positive;1;39.02000045776367%
great app, especially if you go premium;positive;2;52.25%
this app was help full for music production;positive;2;83.16999816894531%
Please fix the widgets!;positive;1;79.12000274658203%
I wish they would stop changing the playlists they make for me. I keep going back, wanting to the genre that Spotify thought I would like and I've been listening to on repeat, hoping to hear a specific song, but nope. It's gone. 🙃;positive;2;61.0099983215332%
took Spotify a year to figure out replies to comments;positive;1;86.0999984741211%
the repeat button never works...;positive;1;39.90999984741211%
quite good;positive;4;38.900001525878906%
best app music;positive;0;79.12000274658203%
This is good but there should be less ads;positive;4;79.16999816894531%
godd;positive;0;16.670000076293945%
app is excellent but just bring in download option for single songs as in apple music and all .. now we can't download a single song in Spotify right. Provide an option for that and it ll be excellent;positive;2;35.279998779296875%
nice app;positive;3;72.11000061035156%
good;positive;4;58.33000183105469%
I like it;positive;1;58.16999816894531%
very good;positive;4;58.33000183105469%
"While I think it's fine to not let me choose the order of my songs, I'd like for the songs to be played when I choose an album to only be from the album, instead of treating it like a radio, since I figured that's what the stations are for. I'd also like/recommend letting people add songs from an album when they search it rather than only when you press ""add to this playlist"". Overall minor gripes as the app has had improvements";positive;2;56.93000030517578%
Hola. Con la última actualización rediseñaron ciertos apartados de la aplicación, que en lo personal, hacen que la aplicación sea más estética y limpia, sin embargo, el apartado de 'crear' que añadieron como un acceso directo es tanto molesto como innecesario tenerlo ahí, deberían volver a solo 3 pestañas (inicio, buscar y biblioteca), ya que, crear una playlist y una jam es algo que se puede hacer desde el la pestaña de 'biblioteca'. De antemano gracias! :);positive;3;86.83000183105469%
the app is really good but why have they removed spotify mini week premium?;positive;4;34.290000915527344%
Music unlimited;positive;5;72.02999877929688%
"in early years, too much intruption; now doesn't start the selected music piece. Technically goddsoftware and content achieving...";positive;1;55.61000061035156%
it's good but needs improvement in terms of Zimbabwe music you can't seriously move from a slow love song to a loud African Initiated Church Hymn then, next a traditional mbira themed song;positive;4;33.939998626708984%
This app is good to be honest, but there should pe LYRICS option and DELETE HISTORY. I will be really happy if you work on these updates.;positive;5;34.15999984741211%
Good however alot of adds;positive;4;54.61000061035156%
the only down part about it is I just get a lot of ads and it gets annoying;positive;4;55.310001373291016%
It dosent always come up with the right Songs;positive;1;53.970001220703125%
it has gotten better but still I think there is a glitch whenever I open the song to see the lyrics it just crashes i hope they fix it;positive;2;62.22999954223633%
started good at first, been using Spotify for years now. but today I accidentally deleted my Spotify n now when I'm trying to log it, it won't let me sign in using this email, and everytime when I wait, it would say that smth went wrong. can someone help me 😔🙏;positive;1;53.61000061035156%
so many adds;positive;4;72.11000061035156%
good one star is decreased because for some songs lyricsis not given so but other vise excellent;positive;1;37.66999816894531%
They upgraded.. Now they are so much better.;positive;1;72.11000061035156%
Great for music maybe can improve custimisation.;positive;2;47.790000915527344%
this app is very much nice but sometime the ads game when I play any music and this make me unhappy.;positive;1;41.790000915527344%
Good;positive;4;58.33000183105469%
nice;positive;3;58.33000183105469%
👌 very nice to see 👀 in my life;positive;3;29.170000076293945%
I love it , but I don't like how they add songs to my Playlists;positive;2;69.4000015258789%
it is okay to hear musics;positive;0;32.029998779296875%
good app but ads;positive;4;79.08000183105469%
You said I should try reinstall would you.ind telling me what I am reinstalling here do you mean I should reinstall the Bluetooth? or off my entire android smartphone you mean I shd reinstall or reboot the phone ?;positive;2;81.11000061035156%
Very good for music would be 5 stars but just a little to many advertisements in between listening;positive;4;56.4900016784668%
Love the app. I can listen to songs I want to hear.;positive;2;64.8499984741211%
I have Spotify premium, very good and Spotify dj is so underrated, but it keeps crashing and idk what to do. I uninstalled it, I restarted my phone, and it still won't work. pls fix asap;positive;1;56.93000030517578%
👌;positive;0;16.670000076293945%
nice;positive;3;58.33000183105469%
It's been ok for 90% of the time but then it wouldn't let me listen to my liked songs for 2 weeks.;positive;2;47.83000183105469%
great app but a bit too much adds,maybe subscription would help but the sound quality is great and u would enjoy this app but it doesn't show lyrics to all the songs but still a pretty enjoyable experience as I won't usually look up at lyrics;positive;2;69.25%
Spotify is great and the audio quality is good. But it would be better if it had a feature to identify songs playing around or voice search.;positive;2;47.68000030517578%
Enjoy using it;positive;1;38.88999938964844%
I don't like if it adds.;positive;5;71.94000244140625%
but when you don't have the premium just don't install,because when you pout on a music the put you another one and it's really disturbing;positive;2;78.43000030517578%
I am enjoying the app and use it daily , but I do not like the 'DJ' recommendations. Also, the Daily playlists used to provide new music, now it's just repetitive and recommending the same songs from the same artist from different albums. Please add sort by play count feature. I would like to listen to music that I have in my playlists, that have not had much attention. Thanks;positive;2;50.61000061035156%
it's good but there are somethings we're in wish there weren't ads also,everytime I would try to play a song you would have to wait for the song to come on, and then it will start playing.;positive;2;81.0999984741211%
I have premium but tbh when I didn't I can't say I liked the frequency of the ads, maybe a lil more spaced out would be better tbh. Other than that love the app!;positive;2;38.27000045776367%
FIX THE QUEUE UI AND YOU'LL EARN MY 5 STARS BACK;positive;1;58.2599983215332%
irritation ads;positive;4;58.33000183105469%
beautiful;positive;0;58.33000183105469%
its good but since right now i cant go in the lyrics or see the artist becasue it crashs;positive;1;52.400001525878906%
good it's spotify.... like what else do i say;positive;1;49.459999084472656%
Spotify is the best app for music streaming,but recently i can't view the song credentials or the lyrics ,the app keeps stopping.;positive;0;48.400001525878906%
theirs to much if ads content bcuz of that the mood of listening to music not last for long so I'll request the content of the ads should be reduced;positive;4;54.41999816894531%
everything is good but it doesn't show how many people has listened to the song;positive;1;41.36000061035156%
Good App but so many Ads:);positive;4;83.27999877929688%
if there was a way you could just continue from the old playlist where you left off it would have been great;positive;2;74.5%
I'd rate Spotify 4 Stars because sometimes you add a song to your playlist automatically some song's just becomes blank 😒.....but it really a great app;positive;2;55.58000183105469%
Amazing 😍;positive;0;58.33000183105469%
the only music I use, the best one though! the only thing I don't like is if you don't have premium, you only have 6 skips an hour 😥;positive;1;55.720001220703125%
if I asked for one to play. whole album will playing you may have correct these problem;positive;1;89.52999877929688%
This app is good but only thing is that u have to pay to use most of the things but otherwise if u pay it very good.;positive;1;37.470001220703125%
Sometimes confusing;positive;2;38.900001525878906%
Nice app but lots of adds occur and the problem is that the songs can't be played by our choice...;positive;2;73.27999877929688%
it has the music I like;positive;1;39.0%
all OK, but the premium........... is not good. I mean why we should use premium and plans and all........... I really don't like it.;positive;1;48.599998474121094%
It's great! However, I don't like how much premium costs...;positive;2;42.56999969482422%
good music;positive;4;38.88999938964844%
good;positive;4;58.33000183105469%
please bring back the queue options;positive;1;69.45999908447266%
So I love having Spotify, but I've had an issue starting May 15. I would start a song, click on the music bar to get canvas and the moment it shows canvas the app shuts down. I tried logging out and logging back in, un-installing the app and then re-installing the app and even tried a shutdown of my phone and restart. There is something wrong with my app and it's getting very annoying;positive;2;51.119998931884766%
good;positive;4;58.33000183105469%
It's a nice app but I hate the advert on sportify. It can be really annoying 😒;positive;4;30.0%
Apart from not being able to stream offline, we are good to go. That's four stars for you;positive;4;46.279998779296875%
Great choices for my favorite music for free. Is that awesome or what!;positive;2;42.959999084472656%
perfect app for song addicters but the thing is they turning it to trash;positive;2;51.90999984741211%
Bro, the app is amazing! No complaints at all. But I do feel it's missing a comment section. Just imagine how great it would be if you added that feature!;positive;2;29.639999389648438%
why my spotify did not show the lyric during the song play ?;positive;2;68.5999984741211%
okay but I can't see all my song;positive;2;53.130001068115234%
i love spotify, BUT i really really wish i could know whos saved my playlist !!! its frustrating, going and using one of my playlists, then seeing some saves. i dont even SHARE my playlists ... that's why its 4 stars;positive;2;43.90999984741211%
bazı şarkılar yok, o da Spotify'ın suçu değil;positive;4;38.959999084472656%
much improved! still not perfect. still too difficult to access certain features.;positive;1;58.5%
Spotify is great, convient and smooth and intuitive. I am traveling and using an e-sim and my premium has ads in the podcasts. kinda whack but overall a minor inconvenience. Will probably use Spotify till I die.;positive;4;37.41999816894531%
great but have alot of adds💔;positive;5;79.06999969482422%
I can search for all kinds of songs rather than other music app;positive;2;70.66000366210938%
good;positive;4;58.33000183105469%
I know that's how you generate income, but there's too much advertisement, apart from that i find it okay;positive;4;45.220001220703125%
excellent;positive;3;58.33000183105469%
love it just wished some of my favorite songs didn't disappear;positive;2;42.810001373291016%
4 start couse to many ads over all sick app 100% recommend;positive;4;44.22999954223633%
Good one;positive;4;38.88999938964844%
awesome 👌 👏;positive;0;58.33000183105469%
I wish I could use the app on two devices at the same time but other then that it's quite good;positive;2;60.18000030517578%
it's a useful platform to listen to music or podcasts I appreciate the people who are working on this app..... but I really want you guys to know that not every student would be allowed to purchase the premium and I hope that you all may understand apart from the advertising section the app works marvellously....;positive;2;35.83000183105469%
I have only gone into this app today and found it easy to use, and I looked up some records that I have not heard for some time. Great thanks;positive;5;27.100000381469727%
the app is such a trash.I used to love it quite a while ago and after the constant updates , the app became the worst!!!! please bring back the Old spotify to us!;positive;1;63.939998626708984%
It's OK.;positive;3;58.33000183105469%
I love using this app to listen to music. However, I was given the option for 3 months of premium no charge, but it still says I'm on the free plan. After gaining the free trial, I canceled the auto renewal so I wouldn't be charged after the trial is done. I have lost my free trial, and without premium, the ads can be annoying but tolerable.;positive;1;60.52000045776367%
good but lots of ads;positive;4;79.16000366210938%
Nevermind, I can't even do anything once again, PLEASE FIX THIS, SPOFITY AB;positive;1;83.29000091552734%
so many ads hyys but its okay;positive;4;79.16000366210938%
after i update my spotify, there is a bug in my spotify app...i can't go to the song page please fix this bug;positive;1;48.119998931884766%
not much issues with this app, cant really say anything bad, exept the fact how loud the ads are.... there is quite a noise difference wich annoys me and just hurts my ears...;positive;1;61.4900016784668%
I think there are some issues on the app;positive;2;78.98999786376953%
Spotify is a great app I use it WAY too much a bug I've found is on Android 12 it keeps crashing whenever I open certain apps or just randomly. thanks;positive;2;40.56999969482422%
it is really nice;positive;3;38.88999938964844%
nice app 🙂👍🏻;positive;3;72.0999984741211%
this app is good and there is all types of music in this but only one thing is fault that is it uses more data...;positive;5;42.54999923706055%
good app listen the song;positive;2;53.689998626708984%
with DJ x it's amazing just make sure he knows the artist we like;positive;1;79.61000061035156%
everything is good except ads every 2 songs!(when I select song). and it tells I'll get 30 min of ad free and a small music, that is too long!;positive;2;53.869998931884766%
"Muy buena aplicación, pero el modo aleatorio tiende a crear una ""playlist fija""";positive;3;45.27000045776367%
good app;positive;4;72.0199966430664%
best music experience;positive;0;52.650001525878906%
Much of the experience was ok but I only have one issue about the music pausing itself when I want it to play in the background as am doing something else .;positive;2;50.34000015258789%
"Love it! Sadly idk why the lyrics won't show up when I click the ""show lyrics"" (T_T) i tried to reinstall it but it still won't work";positive;2;76.80999755859375%
good 👍 (4 starts because of the UX of the app : some useless features are easier to access than the really useful ones, but I know Spotify already knows that...);positive;1;44.689998626708984%
I dont get that many song skips;positive;1;49.939998626708984%
"As Borat would say, ""Very nice!"" but ads every other song and not being able to pick what songs I want and when is ""Not nice!"".";positive;2;57.29999923706055%
I love using Spotify. The only issue I have is with the limited hours of audio books. I think if you have premium it should be unlimited.;positive;2;44.189998626708984%
i love it;positive;0;58.31999969482422%
good but to many ads;positive;4;79.16000366210938%
"plays music well, and has a very wide variety of music. after a while ""made for you"" playlists seem to have all the same songs on them. I HATE all the UI changes (""smart shuffle"", new + button where library button used to be is the worst update)";positive;1;40.93000030517578%
bro ek dikkat hai too much ads in new updates;positive;4;38.90999984741211%
it is 5 starts but the thing is for some reason I'm not able to listen to any music?like everytime I select a music it tells me that I have discovered a premium feature? can anyone please help me ?;positive;2;62.25%
you can include some feature like Google's song detection but better and show lyrics of downloaded songs when there is no connection;positive;2;63.029998779296875%
u cannot repeat a song;positive;2;63.25%
for the any time and beat;positive;0;71.91000366210938%
excellent;positive;3;58.33000183105469%
verry niceee;positive;0;58.31999969482422%
Spotify is the Business (Paid) I need you guys to investigate why the app keeps closing on me whenever I select the bar at the bottom of my phone screen? I've fixed my settings and permissions. it nothing on my end. Its been a smooth listening experience for years with you guys I'.e had Spotify Duo for a few years now. Wasn't sure how to email or contact the dev team,but I wouldappreciat it if you guys would send out an update to fix this issue,maybe? Im seeing other reviews stating this too.;positive;1;37.369998931884766%
useful;positive;4;58.33000183105469%
it's really good but when ever I try to play my Playlist when I press the green button it play a total different song then the on I have or when I press the song it only gets part of it so then I have to try to find the song but when I press it, it don't work the rest of it is good but can u do something about it please?;positive;1;43.5099983215332%
"Pretty good! The shorts/videos stuff is obnoxious. Wish there were better social music sharing features and less garbage ""shorts"" content. Please don't try to be tiktok.";positive;4;49.02000045776367%
I love spotify, its my number one music app. lately it has been crashing alot and it won't load any songs, I've checked my phone for faults but every other app is working perfectly. please fix this issue!;positive;2;53.2599983215332%
all is good except shuffle mode which play the same songs everytime.;positive;2;41.66999816894531%
fist impression, really good but it plays my playlist NOT in order unless you have a trial or membership (which I'M NOT PAYING FOR because I can't), and it's hard to find songs that have titles that aren't in English (but that's probably a skill issue) very cool, but needs an update for the playlist thing :>;positive;2;52.0%
Op but not op;positive;1;72.22000122070312%
The widgets need a major design update or something. Then I'll give 5 stars...;positive;1;88.05000305175781%
isn't it a little too brutal that a freemium user can't even play a song found by beatfind?;positive;2;69.37000274658203%
there's songs I didn't even listen to in my top songs 2022, pls fix (User: Дриппй <3);positive;2;79.58000183105469%
is good but it have ads and no real videos;positive;4;83.31999969482422%
song are so good and remix is on fire I love it so much can you pls aad some hindi remix in electrical guitar thanks;positive;2;56.43000030517578%
gud to use;positive;5;72.20999908447266%
