review;score;Topico_Dominante;Porcentaje_Similitud
It is used to be a great app. Now, it constantly freezes.;3;2;86.75%
Not too sure;3;0;63.880001068115234%
Not being able to access music I bought without a subscription is a dealbreaker.;3;0;89.30999755859375%
This apple music is very good this week I have a great song and interested ❣️ 🔥 very sweet this is wonderful;3;1;88.5%
Fix the security issues in Google now stop ducking with me compmization;3;2;86.77999877929688%
"Please bring back the ""add to queue"" option";3;1;83.58999633789062%
Music just stops and buffers even songs I have downloaded;3;1;89.79000091552734%
The app is kinda good, but the app experience doesn't feels like it's an apple app. The app isn't stable enough to use compare to other music apps, there's a bug that the app player stuck on previous song while the song is already ended and an other song started to play. I'm paying on subscription for the apple music app, so please take my remarks seriously and improve the app !;3;2;65.98999786376953%
I have switched to Apple music recently, and my experience has been mostly good, but there are some occasional issues where it just doesn't play music, like nothing and I tried everything to make it play music but it just won't, this is the second time this has happened and this issue has lasted days. I don't know if it's the type phone I'm using (Samsung), but I'm tired of this it needs to be fixed.;3;2;62.439998626708984%
Please apple put some attention to us android users, it's not possible to buy an iphone or ipad to just change my subscription, I can't even buy the student plan and I'm stuck with individual, i almost got scammed a month's subscription and somehow received the refund. Please atleast make ur payments page better. I'm giving two more stars for the good audio quality and nice playback interface;3;0;49.97999954223633%
Great collection, good quality, should have been a 5 star but for very poor compatibility with Wiim Pro device for casting music through chromecast service, keeps dropping the cast experience;3;2;70.58000183105469%
This is my default music app because I can play my existing library on it. But the amount of times I randomly can't play a song or album that is in my *downloaded music* is ridiculous;3;0;50.72999954223633%
I love apple music but I would like to play Radio based on what I have in my playlists;3;1;89.9000015258789%
We need the play last button.;3;1;80.8499984741211%
I don't really think that Apple music even considers it's reviews on Play Store. There are a lot of bugs in the app while using my Android phone.;3;2;90.01000213623047%
Not friendly user!;3;2;77.16000366210938%
I've had old portable Sony cd players skip less than the music on this app. I do t u derstand why the songs skip. Equalizer issues for some reason. The sound will just go flat.;3;2;53.79999923706055%
I really like this app. However, each time apple updates the app, my settings are changed. I set my playlist on repeat, and apple changes this, so my Playlist will play suggested songs by apple. I'm not sure if apple does it on purpose, but it's annoying af. Especially when my carefully curated playlist starts playing nonsense.;3;0;67.62999725341797%
I can't said its but will be...;3;0;66.4800033569336%
It's really amazing but it doesn't deserve full 5 stars really;3;2;88.02999877929688%
Oh did yas;3;0;33.33000183105469%
The favourite button for artists doesn't work. I favor artists but it unfavors them. This has been happening since the inception of the feature. New music not showing on the new music section on the new home page.;3;0;62.63999938964844%
This app was going well on my android, then it crashed when syncing my library! I signed out, then back in, only to find that all my downloaded music was gone, even though 133gb is still being used up on my SD card that all my downlosds went to. Not impressed!;3;0;40.63999938964844%
Good overall but PLEASE ADD VOLUME NORMALIZATION. Music apps from 10+ years ago have this, even some free ones. Also crossfade needs work. Sometimes it works well, other songs not at all. Needs to be consistent.;3;1;66.98999786376953%
Good but not even song is on here not what I am looking for;3;1;85.97000122070312%
it wont open cellular data saver and i want an option where i can turn on the motion artwork thingy on wifi and can disable it on data and please add scrobbling like allow a 3rd party app or ima have to say goodbye and change subscription;3;0;95.5999984741211%
Weird issue with shuffle mode playing the same couple of songs and never the new ones;3;1;92.20999908447266%
Larino private wedding;3;0;33.33000183105469%
"Apple Music not working anymore when connected to Ethernet after the latest update, showing that I'm offline. Before it worked on Ethernet but is not able to switch to lossless music. Send a feedback nearly one month ago and now it got worse lol. Hope you guys can fix that, Thanks! BTW, playing music from Google Assistant doesnt work if phone is locked, and when I said I want to play a music ""A"", usually ""A(blablabla version)"" will be played instead of ""A"", which is not what I expect.";3;2;51.47999954223633%
Good for music;3;1;74.33000183105469%
Needs a way to integrate audio files downloaded. Otherwise, it's aight.;3;1;89.94000244140625%
Too many bugs, less songs available than in Spotify;3;1;58.54999923706055%
Cool 🆒😎;3;2;66.5199966430664%
Very good;3;1;65.0999984741211%
the auto play is not working on Androids;3;2;74.02999877929688%
Sometimes, music doesn't load at all, and closing the app it still won't work, only would work when restarting the phone;3;0;92.80999755859375%
please bring back the option to show all songs I have by an artist in list view;3;1;78.7300033569336%
Sometimes it works great others it just buffers. I've checked for updates to see if that's the issue but it isn't. I'll uninstall it and reinstall it. Hopefully that fixes the issue;3;1;93.80000305175781%
Amazing;3;2;66.61000061035156%
Can't sign in or play bcuz of user account and virison old android tri on new;3;2;83.66999816894531%
Pretty good;3;1;54.15999984741211%
This app is terrible. It's is so much better on the computer.. My favorites list NEVER updates on my phone. It's been the same list since I subscribed in November.;3;2;79.16999816894531%
Últimamente he tenido un problema relacionado a la portada de los álbumes, a la hora de reproducir musica estos simplemente no aparecen.;3;1;88.87999725341797%
App is overall a nice app But make this app available for SONY TV(Google/Android TV) too just like other music apps. So we can stream music directly through the TV This app is available on play store too.so make it available on the google tv too.... This lacking feature steals your 2 stars in rating.;3;2;97.51000213623047%
Music skips even when connection is good bet used on an iPhone;3;0;43.150001525878906%
When I shuffle my music it always plays the same songs. I thought shuffle was supposed to be different songs. Not the same ones over and over. I have 1000s of songs, but it plays the same ones every freaking time I shuffle.;3;0;95.2699966430664%
excellen;3;0;33.33000183105469%
The sound quality is amazing, unfortunately the app just doesn't run smooth on an android 😕;3;2;90.91000366210938%
I have a subscription to Apple Music with my iPhone13pro. Can I use it my Apple Music app on my Samsung phone? Can I use my subscription on my iphone with my samsung phone. Im using same account for my Apple Account and Google Account. Im paying monthly subscription for my iphone. Can I use it free for my samsung?;3;2;97.26000213623047%
Perfect since I lost my iPhone and got a Galaxy. So I cna still lusten to music I bought on iTunes but there are some glitches-plus I like apple music way more and still get to get songs off itunes.;3;2;88.0999984741211%
Can u give my money back? I no longer use this app, and you can withdraw the subscription and give my money back;3;0;91.87999725341797%
got this on my old Samsung and it says no internet but it's good on my newer one;3;2;62.68000030517578%
App is good then any other music streaming app present out there.But SUGGESTIONS of new songs through the songs you play the most is not good.;3;1;94.02999877929688%
Theres a bug, would give 5 stars if I didnt have to keep signing in every 5 seconds literally. While my music is playing!!? I am logged in for sure but the login popup keeps showing..;3;0;65.44000244140625%
why can't I verify my payments option;3;0;66.36000061035156%
Has a bug in payment section please look into it;3;0;51.08000183105469%
What does apple mean by 3.6/4 GB? i dont get it;3;2;38.68000030517578%
Even though it's rarely used, I think it's pretty good for streaming music losslessly.;3;0;67.55000305175781%
"I have problem when I trying to create kid's accounts to login with family subscription. At the ""Ask to buy"" page, after pressing ""Next"" button, ""Invalid security code"" error message pop out. After pressing ""ok"" on message window, signin process resets to ""add family member"" screen and all entered data is lost";3;0;97.20999908447266%
Overall d app is good but your crossfade is trash improve it;3;1;85.7300033569336%
Basic;3;0;65.33999633789062%
Great except in it's integration with Android auto / Google assistant, which is unreliable.;3;1;87.76000213623047%
Average App;3;2;60.0%
It's been great so far, but I've been unable to put my playlists as public recently. The option for it doesn't even show up anymore when you edit your account.;3;0;94.05000305175781%
Animations are just Soo beautiful. I love that about it. But it slips some songs some times I don't know why. Takes alot of time to load a song.;3;1;93.30000305175781%
I had higher expectations from Apple. Despite its visually appealing user interface and a range of features, the application frequently encounters glitches and does not operate as smoothly as anticipated. A case in point is the persistent login issue I've been facing for the past week, where it requires me to log in every time I open the app. This aspect of the app's functionality has been quite disappointing.;3;0;64.83999633789062%
Please enable bit perfect playback;3;0;87.94000244140625%
Works well enough but love/favorite/thumbs up, whatever it's called, is so inconsistent in saving. Same with adding to library.;3;2;56.599998474121094%
Nothing much to say, but the app is great I can explore new artist and songs;3;1;59.099998474121094%
The app is glitchy. Albums that appear in my iTunes and in the Apple Music web app are mysteriously missing from the phone app.;3;2;77.29000091552734%
"The music quality is great but the app is still bugged. Even when signed in and paying for it's full services, messages like ""content not authorized"" or ""content not available"" stop me from listening to or downloading any songs. Re-logging in or restarting my phone don't fix these problems. Sometimes the app won't load one specific song even with 5g Internet speeds and strong wifi connection, or even when it's downloaded already. At its core, I really love this app... Just without the glitches.";3;1;54.189998626708984%
Lately my music won't play, I have to go and force stop it to make it work again.;3;0;88.48999786376953%
Sometimes, it just won't play any music for no reason;3;0;85.0199966430664%
We need a companion app for WearOS powered devices like smartwatches;3;2;85.27999877929688%
Playlists change by themselves Not sure if anyone else experiences this, but playlists I set up regularly get other songs added which are not done by myself or any other users on my subscription. Really frustrating. Is there a way of locking playlists? Other than that, good app;3;0;61.189998626708984%
awsome;3;0;33.33000183105469%
The App itself is pretty good but there are two Bugs. Often to different Lyrics get highlighted at the Same time. And the other bug is that the now playing bar sometimes glitches unser the library and etc. menu.;3;0;60.400001525878906%
Honestly, I would rather use spotify. ( I listen to music like sza skz ateez and enhypen;3;2;90.6500015258789%
Sound quality is great, but the UI is lacking on all platforms. No way to add or administer family sharing without an apple computer or device. No jumping between devices like Spotify has. Disappointed because I like the quality of the music, but can't stand the functionality.;3;2;96.25%
I found a bug that triples the number of songs on your Playlist... I hate it, and it's extremely annoying, i've tried on multiple occasions to report this, but there have been no changes. I find this problem big enough to make me cancel my membership.;3;2;62.59000015258789%
It is good to have your iTunes library available on demand on the go as well as everything on Apple Music. It does however randomly merge albums together that show separately in iTunes or via the website version. Hopefully they'll fix this.;3;2;58.290000915527344%
not sure how works kinda vage;3;0;79.26000213623047%
It's sucks during creating song station;3;0;83.7300033569336%
It's ok. Inconsistent features and lacking in quality compared to the desktop app;3;2;91.18000030517578%
J4trgeg tell;3;0;33.33000183105469%
Smooth song change;3;2;51.68000030517578%
A few bugs to report While deleting songs from a playlist the playlist automatically gets refreshed(it's quite irritating to be honest) This happens every time when using remove this song option and sometimes during the edit playlist option. Sometimes songs don't get added to the playlist even after repeatedly adding it. Might be a delay but the delay is about 10-15 seconds. This causes problem during repeatedly adding songs to a playlist.;3;0;75.19000244140625%
keep lossless under wifi. i downloaded a song on high quality. then i listened to it while on wifi yet it still plays the high quality downloaded version even though i wanted the lossless for wifi. kinda beats the purpose because i downloaded this app for the audio quality, and now i am deprived of it because i am under wifi. almost want to delete the entire app;3;0;55.79999923706055%
"I never write reviews but i had to do for this one cause I want to continue on this app and can help you with the feedbacks to improve. I'm kind of satisfied with the app BUT it is so frustrating when you like a song so much but it is not available like I pay for this app and there were numerous songs that were not available, it is so disappointing. And another thing I want to point out is that whenever you try to open the album through the song options it would say ""something went wrong"".";3;2;55.45000076293945%
solo hay UNA característica que me hace preferir Spotify, al momento de crear la radio de un tema se hace una playlist en la que puedes rapidamente descargarlos, en apple music eso no pasa y se hace tedioso el tener que descargar las canciones una por una para descargarlas y ponerlas en una playlist.;3;1;96.8499984741211%
My shortcut for this app disappeared from my android. Now I can only open it by searching in the play store, it's there a way to get the shortcut back?;3;2;90.19999694824219%
It is good enough. Just doesn't compare to Spotify. Personally I really miss the possibility of listening top, or all, songs by an artist. Additionally, as a Sonos user: 1. I find the service very slow and 2. lacks functionality such as Spotify connect.;3;2;84.95999908447266%
It keeps crashing every week i need to re install it each time and then it gave me a bug report otherwise i love it;3;1;91.6500015258789%
Recent update fixed the issue with songs locking up, but now there's a ton of lag and almost record scratches where songs will crackle and skip.;3;0;92.48999786376953%
ice;3;0;33.33000183105469%
It has worked fine on my Samsung phone for the past few years and now suddenly I can't play my Playlists and can only shuffle the list of the songs downloaded onto my phone. I have to skip through them to get to the song that I want because when I click on it, it won't play by itself. ITunes, fix this app or I'm going back to Spotify!!!;3;0;77.23999786376953%
We need an app for Wear OS. Also, I notice when you try to update the artwork of my playlist don't let you set up the image correctly. Also when I press favorite to an artist just doesn't work;3;1;50.20000076293945%
Well first off, pay your artists. Stop skimming off of the talents of the people who provide the content you enrich yourself by. Second, if I put it on shuffle, the app will forget what it's already shuffled if I am away from the app for 5 minutes. Seriously? The most valuable software company in the world and that's the best you can do? For a paid service no less. I'm not impressed.;3;2;76.7300033569336%
Um all I wanted from this app was to download songs and play it without the internet.Or am I wrong are you able to to that.i just need help!;3;0;61.54999923706055%
It was a great app, couldn't fault it. Now however it stops working and I have to keep deleting it and reinstalling it, very boring. Please sort it.;3;1;91.43000030517578%
I have loved using Apple Music since October, but recently the Discovery Station won't play at all. I have uninstalled and reinstalled the app. Cleared the data and the cache. Nothing seems to fix this issue. I like using the Discovery Station to find new music to add to my library. This is very disappointing.;3;2;76.77999877929688%
Nice;3;0;65.0999984741211%
Bugs need to be ironed out;3;1;76.11000061035156%
I know it's unlikely but please make the app able to bypass android resampling.;3;2;89.27999877929688%
I love this app and the access to all of my music through the cloud. But the problems with the autoplay have been making my experience much poorer recently. Please fix it.;3;0;83.12999725341797%
auto-play does not work an android. using samsung galaxy s21 with latest updates. also, when i click on a song that is playing, apple music no longer shows me the album or its tracks. instead, i get an error message that prompts me to try again. and of course, that does not work either.;3;0;68.44000244140625%
Lastest update causing issues I think. When I play music from my playlists on shuffle periodically the shuffle just shuts off on its own and the music continues to play alphabetically. There are times I even select shuffle, instead of play and it plays them in order and doesn't shuffle at all.;3;0;64.08000183105469%
Average;3;0;33.33000183105469%
Emmanue Applenuzuhcnjxhnc;3;0;33.33000183105469%
I want to unsubscribe my free trial version. For which I paid, i couldn't find the movie which I want to watch so I want to unsubscribe. I have tried to unsubscribe but couldn't, so is there a procedure to unsubscribe and get my money back .;3;2;69.93000030517578%
Good sound quality but spotify is still better with switching between devices and spotyfy will give you acces to more songs.. find out while moving my playlists to apple with how many songs were unavalaible.;3;2;66.08999633789062%
Has weird gaps in the availability of music available to stream. Features broken by an update can take several weeks to resolve. Autoplay randomly turns on for no reason so you have to check each time you want to play a song or album.;3;0;96.43000030517578%
What happened to Autoplay?;3;0;73.55000305175781%
There seems to be an issue with the client--albums added to the library gradually rearrange. I.E. Tracks 3 and 4 appearing at the end of an album when viewed in the library. This happens to many albums, the solution being to delete the album from the library and re-adding--until the issue happens again, which it will. It is currently impossible to predictably play an album in order without making it its own playlist. Good sound quality otherwise;3;0;80.93000030517578%
Versi 4.5 kok jadi bodoh ya...;3;1;66.62999725341797%
I reallly like it one year subscription;3;0;84.44000244140625%
I like it but I use it to listen music in the office and I it would more than perfect if the option to open a little window with the option to pause, pass the song or return is available... Kinda like picture-in-picture.;3;2;74.62999725341797%
Please make it so that it can bypass Android's audio driver. I have been mailing constantly and also writing feedbacks but never got a response.;3;2;92.87000274658203%
It would be 5 stars but my album artwork is not showing up on car.;3;0;87.88999938964844%
Overall, it's a nice app, but there are a few strange problems that need to be fixed. For some reason, when listening to a song, clicking on the artist name and going to the album the song is from always leads to a blank page. You have to go to the album by searching it directly. Also, sometimes searching for a song would yield no results, even when the song exists in Apple Music's library. Laslty I don't appreciate how Apple forces you to create an Apple ID when there is no need.;3;0;63.619998931884766%
For the most part this is the best app with lossless options, if Spotify offers similar quality when that plan comes out I will be switching back. Because there are some stupid things with no fix (the ability to download ALL songs within the app). There are also straight up problems, occasionally as a song ends it will restart from a random spot in the middle, sometimes when switching between playback in the car to a headset that is already connected the app will refuse to switch to the headset.;3;0;68.02999877929688%
Updated to 3 stars because a lot has been fixed but the new music mix on Fridays still does not update;3;0;92.44000244140625%
Nice one;3;0;76.38999938964844%
Good;3;1;65.08999633789062%
App does not work properly in android. There is issue with sharing lyrics and also an issue with Infinity ♾️ button on songs. Otherwise it's ok;3;2;76.31999969482422%
I can no longer access my library in the app. It's on my PC but everytime I try to access it in the app, I get Error Code 300. It appears to be fixed now. I've changed my rating to 3 stars because I don't completely trust the app anymore.;3;0;96.45999908447266%
Nov 2023 update: cant play songs on infinity anymore and can't add songs to queue. Please fix the bug!;3;0;67.44000244140625%
Why isn't there an option to download your library? This is a simple feature!!! ):;3;0;87.9800033569336%
Mine has stopped playing similar music, I really really need that feature to work;3;2;91.95999908447266%
I enjoy discovering new music, so i always have the shuffle button on. Usually, after my playlist has played the last song, apple music will then recommend songs similar to my playlist. Something I truly appreciate. However, seems like that option is no longer available? Is it just me?;3;0;59.7400016784668%
Why is there no rock music in the live apple music section?;3;0;82.6500015258789%
Why does your app suck? How hard is it to make an app that can read music that I've downloaded from your app? I mean the music is in my phones physical storage and it still can't read the files. I spend more time looking at my phone while driving to try and get the music to play. Bottom line the app sucks I'm guessing it's a direct reflection of the company and its employees.;3;2;53.790000915527344%
Getting there. Management of Playlist folders not up to scratch in the app. Would be nice to have better device to device awareness and switching like Spotify;3;2;72.13999938964844%
I love the app itself However I lost over 9000 songs and MANY MEMORIES ALSO LOST OVER 2000 PHOTOS ETC IN THE CLOUD ALL DUE TO APPLES F**KED UP POLICY'S WITH RESETTING PASSWORDS!!!! UGH NOT HAPPY HAVE TO FULLY CANCEL MY SUBSCRIPTION JUST TO START OVER AND NEVER SEE MY PHOTOS AND MUSIC I ALREADY HAD AGAIN. :(;3;2;96.30999755859375%
The app is better than it was 5 years ago, when I first wrote my review. It works. And that's about it. You pay as much as you would pay for Spotify, and yet there's still no alternative to Spotify connect, Spotify playlists, Spotify's availability, Spotify's desktop app, Spotify's song discovery features, Spotify's library management (now that they have tweaked it a bit). Yes, Spotify doesn't have high end audio, but you likely dont have the equipment to hear the difference.;3;2;97.61000061035156%
I am downloaded a hi res lossless audio for playing offline. Suddenly they not playing. Then I contact apple advisor they say try to uninstall and install the apple music. My total downloaded songs are gone now. Why some time show error code 3.;3;1;53.400001525878906%
This app lacks sync, i cant easily send the audio from this samsung phone to my xbox and windows like i can with spotify. Music quality sounds good, but thats not worth anything if i cant move it different places. The ui of this is good. Please bring apple tv to android too, i have a subscription on xbox, it sucks having to go on browser.;3;2;97.37999725341797%
Can we PLEASE Have an option to add songs to queue or to a playlist from the history space??;3;1;49.880001068115234%
中文歌名/歌手 轉晒做英文名 日文歌同歌手又變晒英文名 點解唔可以出番原本語言;3;0;33.33000183105469%
Although the music streaming is good but the process of registration is painful. Whenever I tried to create ID, it just stuck on managing privacy page and doesn't let me pass. Adding payment method is also pain, for some reason it doesn't show in Android phone but it did show in my pc. I mean if you are including Android users to your ecosystem then include them well, make it more inclusive. Anyways lossless is the reason I bought the subscription, work well with the external DAC.;3;0;97.5%
The best app;3;2;75.1500015258789%
why there's no podcasts? every other streaming service has podcasts included, except apple music!;3;1;89.51000213623047%
Its really good;3;1;74.37999725341797%
not bad;3;2;64.95999908447266%
Music is good but performance is not proper using pixel 6 musics stops in middle unwanted breaks need to keep my screen for continuous music;3;1;50.380001068115234%
Update: things were fine for a while, however, since last update, it now takes anywhere for 5-10 minutes for my library to load when I open the app. What's more, when I'm listening to a different app all together in Android Auto, when it finally loads it'll play over my podcast. Please fix.;3;1;68.81999969482422%
Though the audio quality at best but the suggestions and play list not good as spotify. Searching a song or album not straight.;3;1;93.12999725341797%
Overall the app works, but unable to upgrade or change my subscription within the app. One would think you would want this function to work properly.;3;0;53.31999969482422%
I've had the app for a few years now. But every now and then the weekly playlist doesn't update. It hasn't for weeks now on my android phone. And loads of my songs that I've had on my iPod for years won't play on my phone. Pretty silly really;3;0;94.37000274658203%
works on android but bugs out saying no connection and you have to handle all transactions on an iPhone;3;0;49.27000045776367%
The app will sometimes stall or not play music when not connected to wifi.;3;0;88.41999816894531%
Good;3;1;65.08999633789062%
Very glitchy;3;1;64.06999969482422%
I requested for a refund which was done by mistake and I’m yet to be funded;3;2;75.56999969482422%
Wicked slow.;3;2;64.47000122070312%
aside from the good quality audio, everything else is a mess. Interface is confusing. Adding songs to playlist didn't work sometimes and I have to repeat the process a few times or find a workaround. Overall experience not smooth at all. Not what I expected from a big brand like Apple. Making a playlist should be so easy but when I add some albums it won't show up on my playlist and it happened a couple of times that it became annoying. Please fix your app;3;1;40.29999923706055%
Paid;3;2;66.22000122070312%
It is good;3;1;65.0999984741211%
Please add per-app language setting.;3;1;52.65999984741211%
Sound quality is ok but AI isn't.It still offers me irrevelant and ridiculous artists and music genres.Please work over it harder otherwise Spotify will get too many customers from you,thanks.;3;2;94.73999786376953%
"It's been amazing overall in the past. The sound quality is perfect and the catalogue of music is satisfying. The main reason I pay for it is because there are a few songs on it that I love that I can't find on other apps unless I've bought them previously. Lately, especially since the last update in November/December, it's been having issues with playback. Sometimes songs won't load at all; pretty disappointing. That's my only gripe with it.";3;2;45.029998779296875%
works good for iphone but of course it does because it was created by iphone but very very trash on my new samsung phone that just came out not too long ago, it wont let me sign in to my old icloud nor make a new one lol is it that hard to make good working app?;3;2;96.69000244140625%
RANSKY AKA KUDUS;3;0;33.33000183105469%
Content still restricted , UI is awful , cannot group select songs from library or playlist to perform actions , search is clunky , use it to actually search and discover new one of them come out mismatched, EQ is primitive at best , basically lacking even some of theost basic music streaming and playing app As a service it's ok , as a streaming playing app it fails , and the skipping track bug still prevail;3;0;63.22999954223633%
A variety in a short;3;1;65.7300033569336%
can't find some artist;3;2;74.27999877929688%
好像從來不知亞洲人生活是怎樣的，沒在地化不佳。圖示沒有圖就是不整片紅色。;3;0;33.33000183105469%
Good selection, but....a lot of songs that I've found through Shazam are not in Apple's library. And then, don't get me started on the price that keeps going up. Seriously thinking about switching to YouTube music, or Spotify. Lastly, I can't use the Apple Music app on my PC, or iTunes. I used to love iTunes.;3;2;86.2699966430664%
