review;score;Topico_Dominante;Porcentaje_Similitud
as an iphone user trying android, apple music availability was more than wellcome. at least i didnt have to start over curating my playlist. somehow i cannot find audio only feature as its available in ip. not sure if that hardware relate algorythem that prevent it. just felt incomplete. but rest i found no issue. integration on auto and watch also work fine. if only they allow more personal data cross sharing (icloud as service please);4;4;63.650001525878906%
it good and it has good music;4;2;58.5%
Nobody likes commercials, whether they are music related or not. Fewer displays of Apple money makers would be appreciated and enjoyed.;4;4;48.95000076293945%
I think am enjoying this app more thsn any app;4;4;47.86000061035156%
The music quality is excellent. There seems to be a bug though. Somehow the music quality is linked to wifi streaming quality and mobile data streaming quality even for downloaded music for some reason. I listen on pure flat response and I can tell the difference as I toggle between these options while the downloaded music is playing. There is also a slight hitch while switching. I tried with no internet too and still the same. Why are these happening for downloaded music?;4;2;44.209999084472656%
Best app for Audiophiles Best lossless audio you can get in any app in India Downloading is a bit complicated should add seperate download only button on every songs And yes payment methods is very complicated 99/month they deserve that in india Else everything is very smooth and very good optimised on Android too Lossless works flawlessly;4;2;30.059999465942383%
Most reliable ones big up;4;2;47.790000915527344%
"Works well. The Playlist creation and radio features are nice. wish the radio had more subgenre options (hardcore, ska) as the punk station seems pretty limited on those genres. Also wish this worked with ""hey google"".";4;2;89.51000213623047%
sometimes didn't let me select a song and didn't play;4;2;86.62000274658203%
it's actually not that bad;4;1;72.88999938964844%
Trio L;4;4;60.0%
I have discovered something interesting, the app in windows has airplay to cast music to airplay devices, It would be awesome this feature arrive to android phones to use in airplay devices too.;4;4;70.5199966430664%
laggy sometimes;4;2;73.30000305175781%
Good when it works;4;2;73.01000213623047%
Good music quality;4;1;53.060001373291016%
Works as should,I love the Dolby Atmos sound quality on some songs;4;3;49.33000183105469%
At lease warn before subscription ends...;4;4;39.88999938964844%
Great;4;1;60.0%
it's really buggy;4;2;73.22000122070312%
Excellent;4;0;60.0%
Using Apple Music on a Samsung phone. I'm a traitor... Honestly, I just didn't wanna pay for Spotify Premium anymore lol. Good app, no crashing, just a takes a bit for songs to load when you first open the app.;4;4;57.31999969482422%
It's a 4 because Apple is so expensive and you still have to pay for this, you can get a FREE Spotify account and if you don't want ads then that is where money is introduced.;4;4;83.37000274658203%
It has a bug I think it would be better if you fix that The app uses battery more than telegram even if still isn't logged in by me! Thanks for your supporting;4;4;77.51000213623047%
Please add a stable cast button.;4;2;83.94000244140625%
I love this on iphone cuz it's less buggy but that's the marketing trick right? I mainly wish it had an auto install like on my old iphone;4;2;55.2599983215332%
I enjoy listening to my downloads when I'm in a offline area, but I always get a message saying I am offline. I thought when I play my downloaded music, it plays my internal memory without the need for Internet connection. Can anyone help?;4;4;96.48999786376953%
You know what? You actually fixed sub issues, there are a lot of problems but none of them were as bad as sub renewal, now you must fix playlist covers not working correctly, cant make folder in playlist, never saw news about artists i follow and more;4;4;47.2400016784668%
Should be available for Android TV;4;4;79.9000015258789%
I love my apple music but it's not the same on my android device as it is in my iphone.;4;3;61.84000015258789%
I switched from Tidal and it was almost perfect up until a few months ago when I started getting weird volume glitches. Switching apps will drop the volume to -50 unless I pause the song and then play it. Besides that issue I can't recommend this app enough, it truly it's the best thing to come from Apple since the iPod.;4;4;56.779998779296875%
Sonice;4;0;20.0%
I love the app but it crashes every time I open it. Please, fix this apple.;4;4;60.0%
apple music is good;4;3;54.290000915527344%
not able change track to next one from ear phone(bug);4;4;46.790000915527344%
Good;4;2;60.0%
Good app;4;2;41.349998474121094%
I love it. I really hate that it appears in my pull down menu at the top. I turn off notifications and it's still there,.plz fix.;4;2;57.09000015258789%
Lossless at this price? Count me in! The audio quality and collection is epic! 1 star subtracted for some UI/UX shenanigans. what do you mean I can't swipe left/right on the player screen to switch between songs? And it's also a pain to subscribe to the plan, you have to load money to your wallet and keep it filled with enough money for the next billing cycle.;4;2;31.809999465942383%
The Best Of All💯 Trust, there's this way it's switched smoothly to the next 🥷🔥;4;2;46.22999954223633%
"Have to use an android device cause I killed my iPhone... This android 
version of the app is a shame! Stops all the time after each song, gets 
killed every time I try to change the EQ while listening to music. Meh...";4;4;84.44999694824219%
Interface um pouco confusa, spotify ganha muito. Qualidade de som impecável (Hi-res);4;3;69.75%
Good;4;2;60.0%
Right;4;4;59.63999938964844%
Sound quality is better than Spotify when it's playing but there seems to be a wired thing where it sounds like to goes from wide stereo to like mono for a while then comes back to normal again. Then sometimes it gets quiet where volume is like very low and then gets loud again even while playing the same song. Only seems to do this on the Android version not on my iPhone 13 pro.;4;2;43.88999938964844%
Ok yap but.....;4;4;60.0%
Maaasssa;4;0;20.0%
Frustrating sometimes;4;2;73.31999969482422%
Generally good, but the ui is obviously an iPhone app hastily ported to android.;4;4;52.630001068115234%
WILL GIVE YOU FULL OF 5 STAR IF YOU FIX THE CUSTOM EQ BUG. Device tested on Xiaomi Poco X6, custom EQ after being activated on one song, the next song back to default EQ/ EQ is not active during the next song session.;4;4;59.810001373291016%
Sound quality is better than Spotify's highest quality option on premium, 99% of the same songs with better quality, and it's cheaper too. Only thing that could be better is it's interface, I liked that the search button was in the middle on Spotify, and sometimes I can't get back to my library without restarting the app but I am also only on android;4;2;58.970001220703125%
i only have one minor issue. 1: i would like the option to play later like on my iPod so i can queue albums. EDIT: it would appear notification control problems are not isolated to Apple Music. i have thus updated my review;4;2;49.33000183105469%
This app is very good to use;4;4;53.36000061035156%
There are just a few things here and there that are a bit janky on android. Also the queue is a problem. If I play an album, then the play next option puts the items after the current song and not the end of the album.;4;2;75.22000122070312%
Good app;4;2;41.349998474121094%
just recently switched to apple music, it wouldve been a 5 star if only the app doesn't auto play the next song and skip the current one whenever the internet's slow. developers, please fix that. it's annoying whenever it does skip songs i am listening;4;4;46.11000061035156%
Great music app love it.;4;1;52.5%
Would love to see translated music lyrics like how it exists for some songs in Spotify;4;3;47.189998626708984%
"Good music app. When adding songs to playlists, I wish the search function would show all playlists because it does not show the ones in folders even though the search bar in ""playlists' category does. Also would like it to be more clear which playlists a song is already added to (like Spotify)";4;2;87.06999969482422%
"Great app 👍 But I think improvement is needed in the next play area ⏯️, I feel like Spoti** is better in song suggestion although""creat station"" is good, thank you!";4;2;46.13999938964844%
I like the hi-res Lossless. But when you click on the artist shown below song it wrongly directs to another artist.;4;2;65.44000244140625%
the music stutters at times;4;4;48.310001373291016%
This app is amazing;4;0;72.55999755859375%
"App is great and is probably the only time I've seen Apple treat Android users not like poop. Audio quality is superb comparing it to Spotify and yt music and has a very clean and easily navigateable user interface with that ""apple magic"" that I've come to love on my mac. Though I would like to see some other features like the new karaoke mode in the ios version and a wearos varient of the app on the Android version soon";4;4;60.959999084472656%
songs recommendation is terrible;4;2;79.88999938964844%
Great;4;1;60.0%
Apple is the last company I want to win the music streaming war. But they deserve to. The android app is solid (and now their Windows app too), the content is extensive, browsing is easy, they have CD-quality audio, and for a good price. I don't know why Apple moved to lossless after killing the headphone jack, but on my LG phone it sounds comparable to Tidal. Hardcore audiophiles will still want to go with Qobuz. Negatives are a) frequent buffering issues and b) autoplay keeps turning back on.;4;4;53.060001373291016%
great music app, I use it religiously my only complaint is that for radio stations you create there is no like or dislike mechanic to give you more songs similar to what you like.;4;3;44.470001220703125%
Not use to having trouble on Apple music but I haven't been able to play music in two days. I don't know what's up but gotta fix this!!;4;4;73.13999938964844%
not as good as spotify but my wife has the family account;4;4;43.9900016784668%
great app!;4;1;73.23999786376953%
I like it so far.;4;2;72.7699966430664%
, 3 ZZ er x4x xx;4;0;20.0%
A little bit of bass will do perfect but other wise credits to the app;4;0;35.72999954223633%
Please implement exclusive mode for bitperfect to bypass android 48khz resample;4;4;63.779998779296875%
"A little more expensive than spotify, but worth it for me. Better selection and interface for non-english music, much more stable app, more consistent UI, doesn't delete my downloads on me like Spotify did. Connectivity across devices and recommendations algorithm don't hold a candle to spotify though, and lacks any equivalent to the ""social network"" elements of Spotify. Those features are secondary to the experience of just downloading and listening to music for me personally, but still a shame";4;3;64.08000183105469%
Doesn't let me hear censored lyrics;4;3;42.58000183105469%
ui needs some work;4;1;43.540000915527344%
please provide bit perfect audio option like tidal music app for android;4;3;50.220001220703125%
Works great on my S24 Ultra, though the casting features never seem to work. I sometimes try to cast to a Samsung TV with the Apple Music app, and to music share on Apple Music on a friend's Apple Car Play, and I get stuck in loading limbo.;4;4;57.40999984741211%
Love the app well recorded but at the min its saying it's not installed when it is kinda confused;4;4;43.06999969482422%
Notice short hiccups/slight pauses during a song playing even when songs are downloaded. I have a galaxy S22 U;4;2;92.58999633789062%
good;4;2;60.0%
nice but there are some missing songs;4;2;54.93000030517578%
Almost perfect. App is great and audio quality is great. But one thing I noticed is that the infinity button is broken currently. So after you finish an album, the music doesn't keep going....PLEASE FIX!;4;1;46.18000030517578%
song collection are very less and search result is not so intelligent, this is my feedback rest I am big fan of apple 🍎;4;3;42.83000183105469%
Mid;4;0;20.0%
Only for iphone it's nice app;4;4;44.2599983215332%
if you like music, you need this app that's all;4;3;83.61000061035156%
For being you know, *apple* music it's surprisingly good on android all things considered. Only reason I'm not giving it 5 stars is because it can be a bit buggy occasionally, sometimes only one song on albums will load or music won't play. Would love if some of those issues could be fixed but for the most part it's a good app.;4;2;53.900001525878906%
UI could be better.;4;2;50.939998626708984%
Con las actualizaciones han mejorado el rendimiento y la estabilidad de la app. En general es un buen servicio y diría que más que competitivo para las otras opciones de streaming. Lo que podría mejorarse es el buscador y las recomendaciones. En ese sentido Spotify me sigue pareciendo mejor.;4;0;96.8499984741211%
I use this app on my apple device but can't even download it on my android phone. Its not downloading at all;4;4;91.0199966430664%
The resing I don't know I've not tryd it;4;4;59.77000045776367%
Cant redeam iTunes CARD ???;4;0;30.020000457763672%
Great app with lossless support but the recommendation system of Spotify's is way better;4;3;70.94000244140625%
lately when listening to music on Apple music only the volume decreases randomly.;4;3;64.55999755859375%
Good app, should have a free teir tho.;4;2;46.150001525878906%
It's overall a great app, music quality is amazing, it's visually pleasing, 9/10, only problem is that it doesn't have the proper algorithm for its users. for example, I listen to Nicki Minaj, it won't give me recommendations on new music that's similar to her. And sometimes randomly the audio will go up if I'm on another streaming platform but that might just be my phone.;4;2;44.029998779296875%
If gapless playback gets added, it'll be perfect. It's one thing Spotify does better;4;2;53.7599983215332%
"Apple music has superior music quality compared to apps like spotify. Dolby atmos support is also great. the lyric feature is aesthetically pleasing and the app works well on a whole. 2 things which I believe need changing are: the queuing shortcut shouldn't require aswipe across the whole screen, it has often happened when I've not swiped all the way across and it hasn't registered to add the song to the queue; another issue being that on samsung tablet, lyrics aren't fullscreen like web.";4;3;38.88999938964844%
great ..just sometimes doesn't work without vpn!.. family sharing cannot be started on android;4;4;81.69000244140625%
Cast still not working what is this......;4;4;46.54999923706055%
Need screen to rotate like iPhone plus allows to do same on Samsung phones;4;4;73.30000305175781%
It has almost all my favorite songs on it;4;2;79.8499984741211%
Love it.;4;3;60.0%
Cool;4;3;60.0%
Wow;4;0;60.0%
Decent, still great sound quality. App is more functional on iOS, but it's still better in Android than on windows. Just wish we could navigate tracks on the standby screen;4;4;37.41999816894531%
The app runs smoother than other music streaming platforms I've subscribed to. Much less buffering than I've been accustomed to. Audio quality is fantastic, but who needs animated thumbnails? I subscribed because I'm a Walmart + member and there is a deal.;4;1;42.4900016784668%
vary god;4;0;59.849998474121094%
Been using it for years, back when it was iTunes. Can't say I agree with some of the changes but it does what it's supposed to. Most of the time. My main issues are that it never updates the new 'For You' section, which is where I get a lot of recommendations these days. This section works fine on my PC but the app has the same suggestions from months ago. Also adding things to the queue needs to be done before the previous song is halfway done or it will freeze/crash the whole app.;4;4;59.380001068115234%
amazing and has almost every song but could have more;4;3;43.88999938964844%
This is the best music streaming service ive found. The lossless audio is great, i love the UI, and it feels near-flawless. But there is a couple things i would like. Sometimes when a song starts it kind of skips like a bad cd player when its bumped too hard. Also an android tv app would be the dream!;4;2;42.65999984741211%
Apple has done a good job in providing top-notch music listening experience with lossless and spatial audio. The lyrics shown during music play are also accurately synced and available in multiple languages. 1 star less because recommended songs, albums, recent hit lost not good enough. it's not suggesting good songs. I like Spotify music suggestion way better.;4;2;55.08000183105469%
the app is soooo good but it needs payment so 4 stars;4;4;62.06999969482422%
Love the music content and always has music for any mood im in! The app since the update keeps on crashing on my phone since last night and the pop up message I get says it has a bug????;4;4;56.939998626708984%
the app is good i am enjoying the subscription but there is a problem i can't share lyrics to snapchat as i can send on Instagram stories pls also add support for snapchat;4;2;64.41000366210938%
It's great, though it has an issue where Bluetooth devices get disconnected on my Pixel Fold whenever I play music on the app;4;4;78.4800033569336%
This service very good and surprisingly cheap. But I have issues accessing the full feature set of the account I created with it.;4;2;72.0%
It shouldn't take a whole damn day to load all my playlists when the app crashes for no reason. Fix this! I have the fastest internet. It shouldn't take this long via my phone;4;4;94.58999633789062%
good app;4;2;41.349998474121094%
good but lot of glitches for android;4;4;47.81999969482422%
Sometimes works slowly;4;2;73.01000213623047%
Please fix the bug with playlist covers... The app never shows it permanently and always has to be loaded again.;4;4;51.099998474121094%
Very good music app, the only downside is that you can't connect to ps5 like you can on Spotify;4;3;57.45000076293945%
i love the app but it still has some issues with loading stuff;4;4;55.5099983215332%
la calidad de las canciones está muy bien, pero a la aplicación le hace falta ser mas intuitiva y mejorar otro aspectos. Ademas se pega mucho en. buffering;4;0;93.83000183105469%
I wish this showed the number of streams music have & the monthly listeners of artists.;4;2;52.66999816894531%
Good app;4;2;41.349998474121094%
good 👍;4;2;60.0%
App just started crashing.... what could i do to fix this;4;4;86.52999877929688%
The all crashes, good stuff tho;4;2;63.790000915527344%
I love the lossless quality so much and I'm glad that we have apple music on Android phone but can you pls release apple music also on Galaxy watch ?Thank you!;4;3;55.380001068115234%
not bad;4;1;59.83000183105469%
a really good option for music lovers;4;2;51.189998626708984%
Just started using the app and service, and so far so good. Audio quality is good, and for the most part I find the app easy to use. As of now, my only real nitpick is that the battery on my phone seems to drain a little quicker using this app/service than the others I have tried. It's not a terrible drain, but definitely can stand to be improved.;4;4;38.56999969482422%
Bug report: when a sub is renewed the app is full bugy lose all settings and have heavy bugs with music previously downloaded. And sometimes the library is buged and not show anything. The space in memory of old downloads doesnt update and doesnt playback but the files are here. i dont know how this passes the quality control of apple. The quality of sound is amazing!;4;4;45.970001220703125%
"Really enjoy the "" Create Station "" option Need to add podcast player to the app";4;2;54.790000915527344%
Saniya A;4;0;20.0%
"Used and liked for +10 years. REQUESTS -1. add an obvious place for app requests. 2 Enable blocking of songs/ artists / albums. PLEASE!! I can't stand the song Grenade by Bruno Mars but love a few of his other songs. I never want to hear Grenade ever again, but it keeps popping into playlists. I am sure others have songs they never want to hear again. we shouldn't only have the option to ""Like"" music.";4;2;45.02000045776367%
Been great except it just broke on me;4;1;79.55999755859375%
quite good but few bugs and crashes randomly sometimes;4;2;88.47000122070312%
Music selection is alright. Not nearly what Spotify provides. Missing a lot of the rare and older stuff. Won't play on my Echo 8 either which sucks. Overall it has a majority of the albums and singles I want, but could DEFINATELLY expand their library significantly and tweak a few functions of the app. Other than that it's pretty chill I guess.;4;2;54.4900016784668%
The audio quality is superior to that of other services. The payment system has been enhanced for Android users, and the app now integrates with the Google Play Subscription Manager. However, the recommendation algorithm appears to be flawed. While it requests preferences during initial setup, geographic location seems to heavily influence recommendations. Therefore, if you wish to avoid local or Hindi music, the app may persistently suggest it.;4;4;35.66999816894531%
Great app. Some issues on Android that makes it so you occasionally can't see the current songs playing. But probably the widest selection of on-demand music aside from YouTube.;4;4;33.52000045776367%
Love this app. So far I find it better than most music apps.;4;1;42.41999816894531%
Great app. Spotify premium Hi-Fi or Tidal Master are better choices, unless you use Apple Music premium. My only complaint, is that even on the latest beta, they still haven't included iTunes Match with any Android phone. That can only work on a iPhone or iPad. Since Apple includes Spatial Audio, and supports lossless audio, but hasn't released a Android version of iTunes is a bummer.;4;4;46.220001220703125%
this app helps me me a lot;4;4;79.4000015258789%
it's pretty great except that it ignores that my mobile wifi hotspot is set to metered (I use lossless on wifi which consumes insane amounts of data). YouTube Music streams with fewer skips on road trips with spotty coverage. Other than that, I really love this app. It works like on iPad OS, I don't feel it's scaled down though it probably is in unnoticeable ways.;4;2;51.15999984741211%
Good;4;2;60.0%
Where did the download option go?;4;2;79.75%
use full;4;2;39.9900016784668%
it was going great until this month, that even after downloading songs, I still need Internet connection to play them. what's going on?;4;4;76.37000274658203%
everything is super good except song recommendations.. recomend song is too bad;4;2;58.630001068115234%
recommendations are way not recommendable compared to Spotify.;4;3;79.81999969482422%
4 star cause it would be nice if the app had a commenting section!!;4;4;66.91999816894531%
The sound and beat of songs àre marvellously good❤💯;4;2;44.029998779296875%
fix your discovery system and you're good;4;4;54.959999084472656%
Hope it will support SRC bypass.;4;2;73.02999877929688%
it was very loud witch i lick;4;3;59.790000915527344%
Some songs are not present in the app.;4;4;54.58000183105469%
it's been cutting out even with good wifi other then that great;4;2;58.119998931884766%
I would give this app a 5 star rating, but I'm gonna give it a 4 only because there are some occasions where I'm not able to find certain songs that I would like to be able to stream and download. If I could stream and download every single song I searched for, then I would have given this app 5 stars.;4;4;65.88999938964844%
I love the curated playlists and audio quality options we got. Adding to library and playlists is a bit slow on android and PC. I'd go for Apple music esp if im using an IEM or high quality speakers. There are some ifs here and there when playing music videos. But overall experience is great.;4;3;31.040000915527344%
Hello Developers. please bring back Bengali lyrics for Bengali songs like it used to.People really do not like the Lyrics in english letters in a Bengali song. I hope this situation will change soon.;4;2;43.029998779296875%
Just about all the music you need in your life;4;3;79.7699966430664%
Good, but minimum volume is too loud, I have to use a third party eq app to make it bearable. If that ever stopped working, I'd have to move to a different service.;4;4;64.56999969482422%
Awesome;4;0;60.0%
Improve the shuffle and you will be the best player.;4;2;61.09000015258789%
would love it if I could set app language without changing my system language;4;3;59.18000030517578%
Fair;4;0;20.0%
Sound quality 💯 Algorithm 🤔;4;2;50.52000045776367%
Was so convenient when I switched to galaxy from iPhone;4;3;57.15999984741211%
Average;4;0;20.0%
apple good app but constantly has issues opening search and radio whether 5 g or wifi how can the home screen open and search spins....;4;4;65.01000213623047%
Why can't I use apple music for my alarms, luke spotify does ? Audio quality is exceptional, but recommendations have much room to improve.;4;3;91.88999938964844%
it's good, just not the best;4;1;40.0%
generally good service. However, it seems they have favored artists and tend to push those more readily than others, even in user made playlists. Also, has some trouble suggesting similar artists, particularly when source is lesser known (suggested Zach Bryan was similar to a Midwest emo band???). Pretty intuitive platform tho;4;2;80.87999725341797%
Best music player just need to more music songs of local indian singer Also better Suggestion algorithms need to build as per user;4;2;72.27999877929688%
Works great. Happy they added the option to turn off crossfade. Now, please, please, add the option to turn autoplay OFF by default.;4;4;47.52000045776367%
i love this app just the only drawback is that some songs are not available like in kpop and some jazz pop;4;2;50.63999938964844%
Hip hop;4;0;20.0%
Music experience is certainly great bcoz of lossless and hi res lossless. Nothing in India comes close;4;3;66.41999816894531%
good;4;2;60.0%
i see the developers have made noticeable changes, thank you, Im lookin for more improvements. rest, it is affordable and I'm happy with some updates till now !;4;4;83.37000274658203%
Good 😊;4;2;60.0%
Definitely improved over the years. Getting a little better and more stable with each update.;4;2;66.93000030517578%
B eee wa;4;0;59.810001373291016%
Honestly, for its basic functionality as a music player, it does well on android (using samsung s23). There are a few features that it lacks, but they can be overlooked if you are willing to put in the effort. Lossless audio is a big plus over Spotify . Request to apple : Could you make it easier to download all music in your library and to clear the song queue with a single button.;4;2;36.029998779296875%
Best;4;1;60.0%
عالیییییییییییییس;4;0;20.0%
Overall good. There is no option to like a song via Android Auto, yet Pandora and Spotify. Offer that. And in order to like a song or add it to a playlist, you have to click into the songs options which is unnecessary. Sound quality is good, music selection is good.;4;2;62.560001373291016%
it can be a bit laggy at times, but thats most likely just an issue with my phone. I'd have to say, for an Apple product running on Android, it actually works extremely well and I feel like I'm getting the full experience Apple users are getting. This app is especially great if you use it in tandem with the iTunes program on computers to upload your own audio and ripped albums, so you can stream your usually CD bound content anywhere. King Crimson fans get heavy use out of that feature.;4;4;50.650001525878906%
Well, had my first real issue with app when Apple ID login did not work. Throughout the years I have been dedicated and addicted to it's services. I have youtube music too but Apple Music just has that extra something to it. I was about to leave and go to spotify/Amazon but decided to stay as my login was fixed the next day. Hoping that Apple continues to improve App experience.;4;4;45.97999954223633%
maybe not as fluid as the iOS version. and apple does not give you free version. but I think the price's reasonable, with the sound quality.;4;4;71.0999984741211%
As of June 2023, the Android operating system version of the Apple Music does not perform the same as the IOS (iPhone) version. When checking the properties of a song so that you can view the entire album or CD, that menu item does not exist on the Android version. However, if you click on the Artist name, then it sometimes takes you to the album. We need a clear option to navigate to the album that the song is a part of. Thank you;4;4;49.220001220703125%
Lovely to listen;4;4;72.9000015258789%
Nice;4;0;60.0%
A bit clunky sometimes but good app and great service;4;2;47.52000045776367%
Apple Music has went through an immense transformation lately: in visuals (especially in the Now Playing tab), in quality, and in functionality and categorization. I can now honestly say that with Spatial Audio and the free addition of lossless tracks Apple Music is the best music streaming app.;4;3;58.72999954223633%
Once it's working it's good.;4;2;49.400001525878906%
Best Music platform ever! But it seems the app has glitches... sometimes downloaded music will be waiting on WiFi or Data to play which is appalling! Fix it!;4;1;49.380001068115234%
I only got this app cuz of the taylor swift thing lol but it's good I'm sticking to spotify tho...;4;2;42.459999084472656%
Great.;4;1;60.0%
This good app,but there's a sone strange album cover and some won't show an album cover,even i update imange via setting.;4;2;60.040000915527344%
can be a bit glitchy at times.;4;1;79.4800033569336%
Mhh works well for android phone 🌟🌟🌟✨;4;4;73.2699966430664%
"the UX/UI is not as good as Spotify. The songs library is not anywhere near YouTube. But the sound quality you get is the best over in Bluetooth or wired. Using on Android phone. Best Rs. 100 spent on Apple music than in YouTube premium or Spotify premium just for the sake of quality of the songs. And why the album ""the winning"" by IU not available?? why Apple why?";4;1;27.079999923706055%
In the favorites playlist, if a song becomes unavailable, then there should be an option for it to automatically skip said unavailable track. Stopping the music just to inform that the song is no longer available makes driving unsafe and dangerous. Fix this, please.;4;4;49.77000045776367%
The Best music app ever;4;1;83.93000030517578%
it's a good app!;4;2;41.349998474121094%
It's overall great, the organization of things is great, too. But a lot of the songs that I want or already had on here keep of disappearing. Give me my songs back!;4;2;46.650001525878906%
It's good for the most part but there are some small improvements that could be made to make it a 5.;4;4;46.95000076293945%
ok;4;4;60.0%
pure music not included any noise;4;3;55.0099983215332%
love on the iphone though laggy when switching tabs on laptops;4;3;48.220001220703125%
Great, but has potential to be one of the best!;4;1;79.94999694824219%
For me this is the best music app so far... Except that when I leave the app or just go to another app and I come back to apple music it just becomes blank and I have to clear the app and start the app again, I think this is just a bug considering it's an Android cause it has never happened to my iphone before;4;4;52.279998779296875%
Many music in my Playlist are dehilighted and I couldn't play them, that pains. Secondly, Ligali Mukaiba and Kayode Fashola's musics are not on the app, that also pains. Safe these, my experience on the app is seamless 👍;4;4;58.630001068115234%
It's great But I still prefer Spotify over lossless audio NO. 2🔸🔸WORLD BEST MUSIC APP ON ANDROID⭐;4;1;72.11000061035156%
Apple Music offers excellent sound quality, delivering a rich, immersive experience. However, it could improve by reducing the number of multiple versions of the same song, as some versions vary in sound quality. Additionally, the shuffle feature could use refinement, as it occasionally repeats the same song at the start. Despite these small issues, Apple Music remains one of my favorite platforms, and I’m overall very satisfied with the service. Keep up the great work!;4;4;29.68000030517578%
nothing special gets the job done needs work on the social side of it;4;4;75.5999984741211%
💪💪💪💪💪💪 good apo;4;2;73.33000183105469%
make all music available for all regions;4;2;62.4900016784668%
This is a good app, struggles occasionally with offline music, but other than that, highly recommended.;4;1;34.970001220703125%
It's alright. Alot of bugs. Alot of missing songs too. But its high quality audio 😅;4;2;66.0%
I literally have a 3 month trial that I can't even use. Keeps asking me to join apple music, even though I'm signed up for student. This, among other things, is why I'll be keeping my subscription to all access. I just wish Lady Gaga wouldn't have apple music exclusives.;4;4;46.70000076293945%
On my playlist I look up songs and when I click on a song the song that plays is the first song on my playlist.;4;2;92.69999694824219%
my music wont play even thou i have an android n my bd gave me his apple music;4;4;59.790000915527344%
music algorithm for radio and Playlist could be better;4;2;69.44000244140625%
Spotify is better, but this is still good. Isn't apple satanic or sum like that?;4;3;50.65999984741211%
pretty decent;4;3;40.65999984741211%
Buena calidad de sonido, pero no se puede instalar en galaxy watch 4.;4;0;80.06999969482422%
Mjpjl Hello Hi Qikn m;4;0;40.09000015258789%
Ok;4;4;60.0%
I like the app but there are a lot bugs;4;2;59.61000061035156%
Thres been some improvement that enhance my experience as a user, no laggy like they used to;4;4;37.91999816894531%
Me gusta, pero pasé mucho trabajo para crearme una cuenta de Apple porque no tengo Iphone. Deberían tener eso en cuenta, pero por lo demás me todo ok;4;0;70.80000305175781%
app crashed on Lenovo tablet PC. fix it plz.;4;4;59.349998474121094%
Lovely app, intuitive controls I love that I can swipe down on an album. It could do with better playlists and the lossless audio is a battery hog so I just turned that off;4;2;45.75%
Amazing;4;0;59.869998931884766%
