reviewId,review,gender,location,date,score,ColumnaAPredecir:score
305,What bothers me is that ads in the free version are disruptive. It disrupts the experience.,male,"Marrakesh, Morocco",2023-03-30,negative,negative
306,"Honestly, social features feel limited. It makes the app harder to enjoy.",male,"Doha, Qatar",2022-08-12,negative,negative
318,One issue is that playback can lag or buffer sometimes. It makes the app feel less reliable.,male,"Jeddah, Saudi Arabia",2022-02-10,negative,negative
320,"So far, it’s hard to discover truly new music sometimes. That part could definitely be improved.",male,"Lusaka, Zambia",2022-12-24,negative,negative
327,One issue is that some songs or albums are missing. It makes the app harder to enjoy.,male,"San Francisco, United States",2024-01-16,negative,negative
328,"I wanted to like it, but playback can lag or buffer sometimes. It gets frustrating after a while.",male,"San Antonio, United States",2023-08-22,negative,negative
331,"So far, the app can feel cluttered. It ends up feeling repetitive.",male,"Caracas, Venezuela",2024-09-17,negative,negative
340,"In my experience, it’s hard to discover truly new music sometimes.",male,"Wellington, New Zealand",2025-04-23,negative,negative
346,What bothers me is that social features feel limited. It makes the app harder to enjoy.,male,"Brasília, Brazil",2024-06-19,negative,negative
348,"Personally, playback can lag or buffer sometimes. That part could definitely be improved.",male,"Rio de Janeiro, Brazil",2024-12-17,negative,negative
351,"In my experience, the app can feel cluttered. It makes the app harder to enjoy.",male,"Buenos Aires, Argentina",2024-08-11,negative,negative
352,"Personally, personalized playlists sometimes repeat the same songs. It ends up feeling repetitive.",male,"Guangzhou, China",2022-03-04,negative,negative
355,What bothers me is that ads in the free version are disruptive. It disrupts the experience.,male,"Kuala Lumpur, Malaysia",2022-08-12,negative,negative
378,"For me, playback can lag or buffer sometimes. It makes it harder to discover music.",male,"Rio de Janeiro, Brazil",2024-05-26,negative,negative
383,"For me, switching devices can occasionally be inconsistent. It makes the app harder to enjoy.",male,"Budapest, Hungary",2021-11-18,negative,negative
385,What bothers me is that ads in the free version are disruptive. It disrupts the experience.,male,"Hong Kong, China",2022-03-08,negative,negative
390,"For me, it’s hard to discover truly new music sometimes. It gets frustrating after a while.",male,"Lahore, Pakistan",2021-12-04,negative,negative
391,What bothers me is that the app can feel cluttered. That part could definitely be improved.,male,"Lima, Peru",2024-12-15,negative,negative
400,"It's showing too much ads on free plans, it's like we aren't hearing songs & ads are interrupting flow ,it's like we are hearing ads & songs are interrupting the flow.",female,"Suva, Fiji",2025-10-15,negative,neutral
407,"Spotify please get rid of smart shuffle it's such a useless feature and so annoying or at least the option to permanently disable it, I want to listen to MY playlist not what's recommended if I want to listen to other songs I would. Also why would the Create+ button move to the bottom right where my library was it's so annoying,Makes we wants to switch to other music services after having Spotify since 2014 just because of smart shuffle. Sucks that a feature makes a review go from 5 stars to 1.",male,"Manila, Philippines",2022-03-18,negative,negative
410,heard about the new plan where you're stealing artists' music with ai remixing. soooo bye,male,"Paris, France",2021-05-23,negative,positive
421,0 star,male,"Lisbon, Portugal",2021-03-26,negative,positive
422,It doesn't even deserved the one Star review i just wanted to wright this and by accident i gave it 1 star review. After sometimes there were a good futures in the app and when i get comfortable with the app they removed every futures there were before and asked me to get primum they want me to add my card info,male,"Marseille, France",2020-12-03,negative,negative
426,it's honestly because of the new update it's like it's taking away more things from the no premium users every day,male,"Copenhagen, Denmark",2020-12-21,negative,neutral
428,too many adss 🤢,male,"Lusaka, Zambia",2022-11-14,negative,negative
429,this app is waste because after one month it will start die to purchase primium idiot Spotify,male,"Asunción, Paraguay",2024-09-09,negative,negative
436,so many ads😡,female,"Suva, Fiji",2025-07-04,negative,negative
441,no offer,male,"Berlin, Germany",2020-11-18,negative,positive
448,very bad aap 😡😡,male,"Prague, Czech Republic",2021-07-31,negative,negative
465,Awful. There's an ad every time you switch back to the app in the newest version. Uninstalled for being so greedy with ads.,male,"Hanoi, Vietnam",2022-06-08,negative,negative
480,"I am premium user and I can hear advertisings in Hebrew, seconds before the podcast start. Which is clearly no part or included by the podcast. A bot from Spotify wrote me an email, claiming that is possible that I am referring to advertising included into the podcast, which is not the case. What I should reply if I was Spotify and I really appreciate my customers?",male,"Doha, Qatar",2022-07-07,negative,negative
484,I hate how you lock down features to force app download. You guys seem to be so very very fond of dark patterns.,male,"Dar es Salaam, Tanzania",2023-03-03,negative,negative
486,not f2p friendly,male,"Dubai, United Arab Emirates",2022-04-30,negative,positive
511,Spotify me sexual voice hai jo bahot jyada bura aap banata hai ishe 😐😐😐😐😐,male,"Tokyo, Japan",2022-08-19,negative,negative
513,inamo,male,"Guangzhou, China",2022-01-04,negative,positive
514,"more ads than music and is always pushing for a review. App pauses or crashes more now. here's your review Spotify, the app is not even close to 5 stars maybe actually fix the bugs and you wouldn't have to spam for reviews",male,"Denver, United States",2024-04-05,negative,negative
515,"Hid Kanye's song, proving Kanye right. We know who controls the media and spotify.",male,"Windhoek, Namibia",2023-05-26,negative,neutral
517,there was so many adds ...💋💋,male,"Hamburg, Germany",2021-09-24,negative,neutral
525,"It's really annoying for non premium users adds are fine, but now we can't play the song we want . Then what is the point of using this app if you can't play the song you want . Why should I listen to the song the app says . kindly fix this .",male,"Glasgow, United Kingdom",2020-12-30,negative,negative
527,Literally the worst music streaming platform.,male,"Paris, France",2021-03-02,negative,negative
529,useless app..,male,"Tripoli, Libya",2022-10-08,negative,negative
545,so my list i pain stakenly made has been reduced to a waste of time. Because now Spotify just plays what it thinks I'd like. Apparently the app has said nah you'll listen to this unless you pay us. Really amazing since last time I payed I never received the service for the correct amount of time I payed for it.,male,"Madrid, Spain",2020-11-19,negative,neutral
546,toooo nanyyy ads bro i cant even listen to a song properly I'll recommend listen songs in YT music instead,male,"Asunción, Paraguay",2024-09-30,negative,negative
548,Please remove the create feature at the bottom menu.,female,"Christchurch, New Zealand",2025-12-01,negative,negative
558,“Playback of protected content is not enabled” error message,male,"Valparaíso, Chile",2024-10-22,negative,negative
573,"We're sorry. Devs, I cannot log in for this app but cannot work. Fix this bug!!! I need to add ""see what's new"" feature so please add more 😔",male,"New York, United States",2024-03-08,negative,neutral
580,very bad update 😒 😑 this not allowed free only premium version note fre song or ye bas thode mahino ke liye free gane sunny dega baking bad premium Lena hoga very bad I don't youse this app,male,"Sydney, Australia",2025-04-02,negative,negative
586,Money hungry and ads after every two songs,male,"Medellín, Colombia",2025-01-01,negative,negative
589,the DJ thing sucks. I don't want to talk to it so stop telling me about it.,male,"Arequipa, Peru",2024-10-17,negative,negative
593,A snail has more pace.,male,"Beijing, China",2021-12-21,negative,positive
597,too many Adds,male,"Harare, Zimbabwe",2022-10-11,negative,negative
601,Too much paid wall,male,"Córdoba, Argentina",2024-12-17,negative,negative
610,"i used on my another phone which one was not having subscription,it was worst experience as a user ,u can't forcefully popup ads which are marked as disliked and also reported several times . horrible worst add sense .you show adds no issues but similar add after disliking for 5-6 times reported 10-15 times .",male,"Rabat, Morocco",2023-01-29,negative,negative
613,two song ya three song chalte hai aur ad bar baR ATTE HAI YE APP PHELE JAISA NAHI RAHA JISME ADD KAM AYE,male,"Durban, South Africa",2023-04-20,negative,negative
616,"I'm so so so tired of this app crashing for no apparent reason. No matter what I do,it still crashes. When I'm trying to use the GPS on my phone, crashes. Driving with no other app open, crashes. Just having a jam session, crashes. Cleared the cache, still crashes. It wasn't like this before. Please someone fix this bug. It is very annoying to deal with. Edit: I'm still having the same issue even after I un-installed and reinstalled the app. Is anyone trying to fix the problems with this app",male,"Budapest, Hungary",2021-08-27,negative,negative
624,I can't even play songs from my playlists and 6 skips per hour what is this going on 🤷,male,"Santiago, Chile",2024-09-23,negative,negative
625,they won't give me my money back after they charged me on the wrong date! they just want to take your money. I already contacted support and they say that they couldn't refund me so yeah this has never happened to me.,male,"Mumbai, India",2021-12-01,negative,negative
626,way too many ads. They use to have 30 minutes ad free after watching one ad. It still says that but after every song there's multiple ads.,male,"Vancouver, Canada",2023-12-08,negative,negative
628,"worst app ever there is no dignity of doing business.they give ad listen next 30 min without any interruption still they gave ad within 6,7 min",male,"Seattle, United States",2024-02-16,negative,negative
630,👎,male,"Hong Kong, China",2022-05-10,negative,positive
631,har dusre gane me add ati he download mat Karo bolte he 30 mint me aajay gi aati 2re gane pe aati hee it's irritating,male,"Asunción, Paraguay",2024-08-11,negative,negative
633,"You get half music/ads and there premium is a rip off, your better off with apple music.",male,"Cairo, Egypt",2023-01-11,negative,positive
650,"Bakbaas app h ,,, Ads ke Alawa kuch nhi",male,"Mumbai, India",2022-09-04,negative,negative
654,garbage,female,"Melbourne, Australia",2025-12-04,negative,negative
689,why would you move the library button,male,"Santiago, Chile",2024-06-07,negative,negative
693,full ads are showing worst,male,"Shenzhen, China",2022-01-24,negative,negative
694,very useless app I can't even listen to my fav music and when I was drawing something from a tracing and was listening to music from Spotify in my liked song but the no..... it just played some useless music,male,"Zurich, Switzerland",2021-06-14,negative,negative
695,This app has been my all time favourite but now they have reached their limits. For small things we need to buy premium which is nonsense like even for changing songs in mid we have to buy premium .worst of all the developers are not even giving a look at the reviews and doing what ever it does to make life miserable for free users like pls solve it,male,"Bangalore, India",2021-12-19,negative,negative
699,premium for even playing a song?,male,"Osaka, Japan",2022-04-24,negative,negative
706,everything is pay to get,male,"Rio de Janeiro, Brazil",2025-02-09,negative,negative
724,of now use too much of ads and playlist gets deleted just after changing account,male,"Johannesburg, South Africa",2023-06-09,negative,negative
726,سئ جداااا,male,"Gold Coast, Australia",2025-03-09,negative,negative
732,I can't play the song that I like,male,"Sydney, Australia",2025-03-18,negative,negative
740,I don't get to play what I want they always ask to buy premium,female,"Wellington, New Zealand",2025-12-10,negative,negative
743,"plays music sometimes, lmao",female,"Brisbane, Australia",2025-09-20,negative,positive
746,asks for money only. install only if u have infinite money because u won't get anything in free version,male,"Hobart, Australia",2025-04-12,negative,negative
765,"So much annoying app ,there are so many adds coming after every 4 to 5 songs. After they say enjoy next 30 minutes of listening but add comes again after 15 minutes. And also if I dislike the advertisement still they give the add more than before. and also they force us to get premium Spotify by 6 skips or a specific part very upset from the app😡",male,"Valencia, Spain",2020-11-25,negative,negative
775,"i only saids one tence is, where is my offline 😔🙏.",male,"Prague, Czech Republic",2021-10-04,negative,positive
776,Irritating,male,"Shanghai, China",2022-06-29,negative,negative
784,"litteraly greediest music app ever, like how are you gonna show THAT many ads? heck the ads that give you ""30 minutes of ad free listening"" only last two songs on a good day. they basically make this app borderline unusable to force you into buying premium. yeah no thanks im not spending my money on this. do yourselves a favor and go use something else.",male,"Los Angeles, United States",2024-02-13,negative,negative
787,It's kawa,male,"Vancouver, Canada",2024-01-12,negative,positive
789,why can I only play like 10-30 songs bro I hate it it's so premium hungry,male,"Arequipa, Peru",2024-12-04,negative,negative
791,"it keeps freezing on every song I play. please provide an update and fix this bug. this have been happening since the beginning of the year. I Uninstall the app and reinstalled it, still the same. fix this or im canceling my account.",male,"Ho Chi Minh City, Vietnam",2022-09-04,negative,neutral
801,"extreme premium based app , cant enjoy anything anymore 👎👎👎",male,"Madrid, Spain",2021-10-12,negative,neutral
802,best to bad. annoying add,male,"Los Angeles, United States",2023-11-09,negative,neutral
804,"you can't enjoy songs without primium. i personally suggest ( Y music) you can easily get this app's APK on chrome. you can use this app without primium and you can also download songs . I suggest don't download Spotify and download Ymusic , you will definitely enjoy songs , this app is just an another option for non premium users of Spotify. you will not regret downloading this.",male,"Cape Town, South Africa",2023-02-19,negative,negative
820,failure don't use it,male,"Asunción, Paraguay",2024-05-21,negative,negative
826,"Every time I try to open up the listening screen, the app crashes. How am I supposed to loop or shuffle in these conditions? 1 star until fixed. (Yes, I reinstalled and logged out and everything. Still not working.)",male,"Chennai, India",2022-08-31,negative,negative
829,can't hear music peacefully unless you have premium....,male,"Valparaíso, Chile",2024-06-26,negative,negative
831,lahat nalang may spotify premium,male,"Jacksonville, United States",2024-03-06,negative,positive
835,Not playing songs without a premium,male,"Port Moresby, Papua New Guinea",2025-05-09,negative,negative
836,my app is crashing nd closing itself when I play music kindly do the needful,male,"Krakow, Poland",2021-10-12,negative,negative
844,Kalbo,male,"Buenos Aires, Argentina",2024-12-18,negative,negative
850,"I don't download shyt, why on earth my data storage for the app is over 6GB?",male,"Canberra, Australia",2025-04-09,negative,negative
855,"anytime i open the app it always say offline even though my network is working fine other apps don't seem to have problem, how do I fix this",female,"Auckland, New Zealand",2025-12-05,negative,neutral
857,baad because meny more advantages I am parsonally disappointed 😞,male,"Quebec City, Canada",2024-02-29,negative,negative
877,"I don't know what happened to the app! The songs play but there's no sound. I mean no sound on any device I connect to, be it the earphones or the device speaker. There's no problem with any other app but just Spotify. Please do something.",male,"Amsterdam, Netherlands",2021-02-22,negative,neutral
904,I don't have a queue at all and I can't take my songs out of shuffle because it keep saying something about premium Spotify please fix whatever is going on with your app,male,"Austin, United States",2023-09-15,negative,neutral
908,slow,male,"Addis Ababa, Ethiopia",2023-07-02,negative,neutral
919,Too much Unnescesary Ads,male,"Chicago, United States",2023-07-24,negative,negative
922,I would really appreciate it if my playlists didn't scroll up to the top every bloody time I turn my phone off or on or when I switch to another app thanks,male,"Madrid, Spain",2021-07-25,negative,positive
934,I can't play songs that I want. Everytime I try to listen to a specific song it randomly plays another one instead.,male,"Windhoek, Namibia",2023-06-07,negative,neutral
936,why in the world am I paying for premium (and been doing so for a year+) and just got 2 ads? top 5 instant enragers is getting an ads on an app you pay monthly for to not be tortured with ads. is there an answer for why this happened? or are you just screwing with people for the hell of it.,male,"Munich, Germany",2021-05-24,negative,negative
942,worst app,male,"Alexandria, Egypt",2022-11-22,negative,negative
949,worst app that I have ever seen. so many ads. if you want to listen to Ads then install this app. you will get fed up with the worst Ads. Great app for Ads. One star rating is also very high.,male,"Addis Ababa, Ethiopia",2022-11-21,negative,negative
958,not good too much ads,male,"Ho Chi Minh City, Vietnam",2022-06-27,negative,neutral
960,the worst app I ever saw,female,"Melbourne, Australia",2025-12-18,negative,negative
967,"never found it useful, uninstalled",male,"Shenzhen, China",2022-08-20,negative,positive
973,"The app used to work fine but now all I can do is play playlists and individual songs because albums won't load. It won't download anything either and I have tried everything that is recommended multiple times but nothing ever works on my phone. To Spotify Help, I tried everything you recommended and nothing worked.",female,"Melbourne, Australia",2025-05-12,negative,neutral
975,stop this premium lore,male,"Manila, Philippines",2022-03-30,negative,negative
977,Expensive,male,"Boston, United States",2023-08-29,negative,negative
986,Hunger for money asf,male,"Austin, United States",2023-07-19,negative,negative
996,very disappointed very bad for listening one song buy premier very bad.,male,"Bangalore, India",2022-06-10,negative,negative
1000,"I love how awful your app is, I wish every app was as useless and confusing as this one!",male,"Beijing, China",2022-07-06,negative,negative
1004,"signed up for a 3 month trail as a premium user, & it does nothing, Don't show how to Cancel it either.",male,"Kumasi, Ghana",2023-04-04,negative,negative
1006,too much ads,male,"Milan, Italy",2021-01-16,negative,negative
1013,a lots of ads,male,"Philadelphia, United States",2023-08-07,negative,negative
1016,absolutely dreadful and always getting worse.,male,"Prague, Czech Republic",2021-10-30,negative,negative
1028,"The worst app ever at first it was full of ads, it's ok but now they don't even let us choose a song of our choice.",male,"Buenos Aires, Argentina",2025-01-30,negative,negative
1030,piryanka,male,"Rome, Italy",2021-02-02,negative,positive
1039,over adds,male,"Córdoba, Argentina",2025-03-06,negative,negative
1040,"won't even let me make an account. I keep getting the error message ""error sending link"" for my email address.",male,"Valencia, Spain",2021-01-19,negative,negative
1049,ad,male,"Johannesburg, South Africa",2023-01-28,negative,negative
1057,"very bad experience , because of too much ads, nearly 3 or 4 ads between switch songs",male,"Buenos Aires, Argentina",2024-08-12,negative,negative
1058,Useless with AndroidAuto. Music skips like a scratched record every few seconds,male,"Delhi, India",2022-02-20,negative,negative
1066,equalizer not holding settings. Android auto and Spotify have equalizer setting problems.,male,"Ho Chi Minh City, Vietnam",2022-02-10,negative,neutral
1069,Such a piece to trash without premium. I usually listen to punjabi/haryanvi songs and the algorithm is so annoying that after each song you play it starts playing songs of different genre (for me it starts playing English rap songs). this happens everytime.,male,"Lusaka, Zambia",2023-01-03,negative,negative
1074,I give the 4 star rating because Spotify is best app to listen song ❤️❤️,female,"Nadi, Fiji",2025-05-21,negative,positive
1085,my app is not working and so not opening,male,"Washington DC, United States",2023-11-29,negative,negative
1105,liked songs playlists won't play.,male,"Jacksonville, United States",2023-11-14,negative,negative
1106,I loooove spotify and I've had premium for as long as I can remember but ever since the last update it is freezes and turns off. Please fix this ❤,male,"Gold Coast, Australia",2025-04-01,negative,negative
1116,I was peacefully listening to the ads and a song interrupted it,male,"Barcelona, Spain",2021-01-05,negative,negative
1121,There are toooo Much ads and every feature requires premium,male,"Helsinki, Finland",2020-12-09,negative,negative
1127,"The 30 minutes of uninterrupted listening is completely false, the shuffle isn't terrible but leaves a lot to be desired, and it keeps playing music not in my playlist before it plays the songs I have in the actual playlist. I just wish it wasn't so forceful and the whole app is clearly designed to be awful without premium.",male,"Kampala, Uganda",2023-03-07,negative,negative
1129,"Its starting to get overloaded with fake AI generated music, that cannot be filtered out, I want music from real artists in my release rader Playlist.",male,"Delhi, India",2022-03-12,negative,negative
1131,"when you added songs to ""liked songs"" the liked songs used to only play and now everytime i click on liked songs it only plays like music that's not on my liked songs. I hate it now.",male,"Durban, South Africa",2022-10-01,negative,negative
1134,Doesn't even play songs when you press on them. Literally unusable,male,"Córdoba, Argentina",2024-06-04,negative,negative
1147,"worst app, suggest songs on it's own and too much price for the subscription which is much more worse😅",male,"Buenos Aires, Argentina",2024-06-07,negative,negative
1156,worst app ever,male,"Shanghai, China",2022-06-27,negative,negative
1157,making me pay 12$ a month just to listen to a SINGLE is greed worse than Ubisoft. I'm moving to SoundCloudx atleast they don't make me pay for singles.,male,"Salvador, Brazil",2025-01-16,negative,negative
1158,now matter what app I'm listening to Spotify hijacks the radio and auto plays random stuff whenever I get in the car. nobody asked for this. can't turn it off.,male,"Toronto, Canada",2024-01-01,negative,negative
1165,nach jedem Song kommen 2-3 Werbespots. Das kann man nicht rechtfertigen.,male,"Rosario, Argentina",2025-01-26,negative,neutral
1169,too expensive,male,"Seville, Spain",2021-04-14,negative,neutral
1190,too many ads,female,"Canberra, Australia",2025-06-23,negative,negative
1192,nth koppila ad ahn vekkunnathin oru parithi ind bad experience ad mathram kanan oru appp wasted one,female,"Queenstown, New Zealand",2025-05-15,negative,negative
1195,They will bomb you with ads if you don't buy the premium version.,male,"Vancouver, Canada",2024-04-11,negative,negative
1198,most worst app ever ✔️,male,"Seattle, United States",2024-02-11,negative,negative
1200,love this streaming platform,male,"Caracas, Venezuela",2025-01-28,negative,positive
1221,The fact that you intend to add ads to the premium so you can add a new more expensive premium plan is absolutely disgraceful. This company is greedy and shameful.,male,"Johannesburg, South Africa",2023-03-20,negative,negative
1225,This is a useless app 😑,male,"Addis Ababa, Ethiopia",2022-12-31,negative,negative
1258,"won't shuffle and recently I will hit one playlist and it will play an entirely different one, I have premium.",male,"Rio de Janeiro, Brazil",2024-07-15,negative,negative
1271,"Why is my Spotify lag? my wifi is fine and it's still lag??? brehhhh, don't tell me I wasted my money??? brooo fix ur app",male,"Montevideo, Uruguay",2024-10-11,negative,negative
1278,stuck behind so many pay walls that had to listen to 3 30-second commercials just for it to give me a song I don't like and not letting me skip it even after saying I'm staying on for free,male,"Barcelona, Spain",2021-03-28,negative,negative
1279,worst music app too many ads,male,"Kuala Lumpur, Malaysia",2022-05-24,negative,negative
1288,"the fact you need to pay on this app in order to be able to basically do anything is actually indecent. the prices you offer for premium aren't cheap at all, having to pay such amounts of money just to listen to music in a decent way is like actually ridiculous. why not just keep the ads but still let people be able to at least choose what to play? this app is so damn insufferable for people who simply cannot afford to or don't want to waste their money on a subscription and it's so unnecessary",male,"Krakow, Poland",2021-10-14,negative,negative
1307,I hate the new update. you lose your spot in your Playlist and go back to the top. please fix it Spotify!,male,"Houston, United States",2024-02-29,negative,neutral
1331,There are just too many ads!!!,male,"Accra, Ghana",2023-06-06,negative,negative
1347,"worst app, all paid",female,"Christchurch, New Zealand",2025-11-22,negative,negative
1356,Too many ads,male,"Caracas, Venezuela",2024-10-18,negative,negative
1365,not worth buying premium,male,"Medellín, Colombia",2024-10-13,negative,positive
1380,"worst music experience, neither the audio quality with premium subscription is good nor without premium. Unable to listen to songs peacefully without itching the brain with 10 mins of ads after 2-3 songs . removed short term premium subscription plans . can like , dislike, block , remove songs , can't play the previous song . this app deserves negative stars but not at all any higher ratings .",male,"Doha, Qatar",2022-08-15,negative,negative
1381,basically pay to win... but with music... you need to pay to listen everyday... if you don't then all you can listen to is the ad...,male,"Dubai, United Arab Emirates",2022-08-28,negative,negative
1392,"way too many ads, just try to lessen it🤷‍♂️",male,"Santa Cruz, Bolivia",2024-12-11,negative,negative
1396,Spotify the heck why are you limiting the users listening in music these is a worse you updates...😭,female,"Hobart, Australia",2025-11-17,negative,negative
1401,hate it never plays the song I type and the playlists I make they play the songs they suggested not the songs I added,male,"Tunis, Tunisia",2022-10-03,negative,negative
1402,it is sow bad,male,"Rosario, Argentina",2024-07-02,negative,negative
1404,If it had 0 stars I would rate it that way. Completely inaccessible for those who don't have the money to pay for premium. This isn't even a music app anymore. I absolutely hate the upgrades.,male,"Jacksonville, United States",2023-12-16,negative,negative
1407,"worse app i ever used, and not going to use it again worse song recommendation system, it couldn't even understand my mood and taste in music. No feature to identify real music. always shows copy or remake versons. no feature to track trendy songs on instagram or tik tok. always show all those boring bollywood songs.",male,"Abu Dhabi, United Arab Emirates",2022-07-22,negative,negative
1409,skips when there is little network when a song is been played😑 and you can't seek in a track to listen to the jamb you want to listen to😡,male,"Marseille, France",2021-10-13,negative,negative
1431,at past this app is fabulous but now this app is rubbish cant explore song can't play a specific part can't shuffle only good for paid users worst app from my side very disappointing,male,"Quito, Ecuador",2024-09-30,negative,negative
1464,"whenever I make a playlist,the app will add THIER own collection of songs.and the songs are not to my taste either,so why do they add them?I can only skip to the next song 6 times.it has plenty of adds so why in the world am I using this app instead of youtube.its like they are forcing you to buy premium or have a bad time.trust me,STAY AWAY FROM THIS APP",male,"Dubai, United Arab Emirates",2022-02-19,negative,negative
1465,why to many ads on the free version and you can't co gack a song.,male,"Ho Chi Minh City, Vietnam",2021-12-26,negative,negative
1466,Ble,male,"Edinburgh, United Kingdom",2021-01-27,negative,neutral
